metabolite_id,metabolite_no_compartment,compartment,metabolite_name,degree,kegg_id,hmdb_id
h[c],h,[c],proton,1210,C00282,HMDB01362
h2o[c],h2o,[c],Water,868,C00001,HMDB02111
na1[c],na1,[c],Sodium,483,C01330,HMDB00588
na1[e],na1,[e],Sodium,479,C01330,HMDB00588
h[m],h,[m],proton,448,C00282,HMDB01362
atp[c],atp,[c],ATP,380,C00002,HMDB00538
h[r],h,[r],proton,291,C00282,HMDB01362
pi[c],pi,[c],hydrogenphosphate,288,C00009,HMDB00973
h2o[m],h2o,[m],Water,284,C00001,HMDB02111
adp[c],adp,[c],ADP,278,C00008,HMDB01341
nadp[c],nadp,[c],Nicotinamide adenine dinucleotide phosphate,269,C00006,HMDB00217
nadph[c],nadph,[c],Nicotinamide adenine dinucleotide phosphate - reduced,267,C00005,HMDB00221
coa[c],coa,[c],Coenzyme A,266,C00010,HMDB01423
o2[c],o2,[c],O2,243,C00007,HMDB01377
hco3[c],hco3,[c],Bicarbonate,243,C00288,HMDB00595
h[g],h,[g],proton,243,C00282,HMDB01362
hco3[e],hco3,[e],Bicarbonate,241,C00288,HMDB00595
coa[m],coa,[m],Coenzyme A,225,C00010,HMDB01423
h2o[l],h2o,[l],Water,219,C00001,HMDB02111
h2o[r],h2o,[r],Water,198,C00001,HMDB02111
nad[m],nad,[m],Nicotinamide adenine dinucleotide,177,C00003,HMDB00902
nadh[m],nadh,[m],Nicotinamide adenine dinucleotide - reduced,175,C00004,HMDB01487
h[x],h,[x],proton,167,C00282,HMDB01362
h2o[x],h2o,[x],Water,165,C00001,HMDB02111
ppi[c],ppi,[c],Diphosphate,157,C00013,HMDB00250
nad[c],nad,[c],Nicotinamide adenine dinucleotide,155,C00003,HMDB00902
nadh[c],nadh,[c],Nicotinamide adenine dinucleotide - reduced,150,C00004,HMDB01487
nadph[r],nadph,[r],Nicotinamide adenine dinucleotide phosphate - reduced,147,C00005,HMDB00221
nadp[r],nadp,[r],Nicotinamide adenine dinucleotide phosphate,147,C00006,HMDB00217
coa[x],coa,[x],Coenzyme A,146,C00010,HMDB01423
amp[c],amp,[c],AMP,129,C00020,HMDB00045
fad[m],fad,[m],Flavin adenine dinucleotide oxidized,128,C00016,HMDB01248
fadh2[m],fadh2,[m],Flavin adenine dinucleotide reduced,127,C01352,HMDB01197
accoa[m],accoa,[m],Acetyl-CoA,124,C00024,HMDB01206
h[e],h,[e],proton,122,C00282,HMDB01362
udp[g],udp,[g],UDP,122,C00015,HMDB00295
gly[c],gly,[c],Glycine,121,C00037,HMDB00123
crn[c],crn,[c],L-Carnitine,119,C15025,HMDB00062
h2o[e],h2o,[e],Water,116,C00001,HMDB02111
ala_L[c],ala_L,[c],L-alanine,114,C00041,HMDB00161
nadph[m],nadph,[m],Nicotinamide adenine dinucleotide phosphate - reduced,111,C00005,HMDB00221
nadp[m],nadp,[m],Nicotinamide adenine dinucleotide phosphate,111,C00006,HMDB00217
gln_L[c],gln_L,[c],L-glutamine,111,C00064,HMDB00641
ser_L[c],ser_L,[c],L-serine,111,C00065,HMDB00187
phe_L[c],phe_L,[c],L-phenylalanine,111,C00079,HMDB00159
