reaction_no_direction,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
10FTHF5GLUtl,"5-glutamyl-10FTHF transport, lysosomal","1.00 * 10-formyltetrahydrofolate-[Glu](5) [c] --> 1.00 * 10-formyltetrahydrofolate-[Glu](5) [l]
No genes",NA,"Transport, lysosomal",N/A,2
10FTHF5GLUtm,"5-glutamyl-10FTHF transport, mitochondrial","1.00 * 10-formyltetrahydrofolate-[Glu](5) [m] --> 1.00 * 10-formyltetrahydrofolate-[Glu](5) [c]
No genes",NA,"Transport, mitochondrial",N/A,2
10FTHF6GLUtl,"6-glutamyl-10FTHF transport, lysosomal","1.00 * 10-formyltetrahydrofolate-[Glu](6) [c] --> 1.00 * 10-formyltetrahydrofolate-[Glu](6) [l]
No genes",NA,"Transport, lysosomal",N/A,2
10FTHF6GLUtm,"6-glutamyl-10FTHF transport, mitochondrial","1.00 * 10-formyltetrahydrofolate-[Glu](6) [m] --> 1.00 * 10-formyltetrahydrofolate-[Glu](6) [c]
No genes",NA,"Transport, mitochondrial",N/A,2
10FTHF7GLUtl,"7-glutamyl-10FTHF transport, lysosomal","1.00 * 10-formyltetrahydrofolate-[Glu](7) [c] --> 1.00 * 10-formyltetrahydrofolate-[Glu](7) [l]
No genes",NA,"Transport, lysosomal",N/A,2
10FTHF7GLUtm,"7-glutamyl-10FTHF transport, mitochondrial","1.00 * 10-formyltetrahydrofolate-[Glu](7) [m] --> 1.00 * 10-formyltetrahydrofolate-[Glu](7) [c]
No genes",NA,"Transport, mitochondrial",N/A,2
10FTHFtl,10-Formyltetrahydrofolate lysosomal transport via diffusion,"1.00 * 10-Formyltetrahydrofolate [c] --> 1.00 * 10-Formyltetrahydrofolate [l]
No genes",NA,"Transport, lysosomal",N/A,2
10FTHFtm,10-Formyltetrahydrofolate mitochondrial transport via diffusion,"1.00 * 10-Formyltetrahydrofolate [c] --> 1.00 * 10-Formyltetrahydrofolate [m]
No genes",NA,"Transport, mitochondrial",N/A,2
11DOCRTSLtm,11-deoxycortisol intracellular transport,"1.00 * 11-deoxycortisol [c] --> 1.00 * 11-deoxycortisol [m]
No genes",NA,"Transport, mitochondrial",N/A,1
11DOCRTSLtr,11-deoxycortisol intracellular transport,"1.00 * 11-deoxycortisol [c] --> 1.00 * 11-deoxycortisol [r]
No genes",NA,"Transport, endoplasmic reticular",N/A,1
11DOCRTSTRNtm,11-deoxycorticosterone intracellular transport,"1.00 * 11-deoxycorticosterone [c] --> 1.00 * 11-deoxycorticosterone [m]
No genes",NA,"Transport, mitochondrial",N/A,1
11DOCRTSTRNtr,11-deoxycorticosterone intracellular transport,"1.00 * 11-deoxycorticosterone [c] --> 1.00 * 11-deoxycorticosterone [r]
No genes",NA,"Transport, endoplasmic reticular",N/A,1
13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)","1.00 * trimethylenediaminium [c] + 1.00 * Water [c] + 1.00 * O2 [c] --> 1.00 * beta-Aminopropion aldehyde [c] + 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c]
AOC1; AOC2; AOC3",AOC1; AOC2; AOC3,beta-Alanine metabolism,1.4.3.6,1
1a_24_25VITD2Hm,"1-alpha-Vitamin D-24,25-hydroxylase (D2)","1.00 * 24R,25-Dihyoxyvitamin D2 [m] + 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] --> 1.00 * 1-alpha,24R,25-Trihydroxyvitamin D2 [m] + 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m]
No genes",NA,Vitamin D metabolism,N/A,2
1a_24_25VITD3Hm,"1-alpha-Vitamin D-24,25-hydroxylase (D3)","1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * (24R)-24,25-dihydroxycalciol [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * calcitetrol [m]
No genes",NA,Vitamin D metabolism,N/A,2
1a_25VITD2Hm,"1-alpha,24R,25-Vitamin D-hydroxylase (D2)","1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * 1-alpha,25-Dihydroxyvitamin D2 [m] --> 1.00 * 1-alpha,24R,25-Trihydroxyvitamin D2 [m] + 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m]
No genes",NA,Vitamin D metabolism,N/A,4
1a_25VITD3Hm,"1-alpha,24R,25-Vitamin D-hydroxylase (D3)","1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * calcitriol [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * calcitetrol [m]
No genes",NA,Vitamin D metabolism,N/A,4
1MNCAMti,N1-Methylnicotinamide transport,"1.00 * Water [c] + 1.00 * 1-methylnicotinamide [c] + 1.00 * ATP [c] --> 1.00 * 1-methylnicotinamide [e] + 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c]
No genes",NA,"Transport, extracellular",N/A,2
1PPDCRp,"delta1-piperideine-2-carboxylate reductase, perixosomal","1.00 * 1-piperideine-2-carboxylate [x] + 1.00 * proton [x] + 1.00 * Nicotinamide adenine dinucleotide - reduced [x] --> 1.00 * L-pipecolic acid [x] + 1.00 * Nicotinamide adenine dinucleotide [x]
No genes",NA,Lysine metabolism,N/A,2
24_25DHVITD2t,"24,25-Dihydroxyvitamin D2 transport from cytoplasm","1.00 * 24R,25-Dihyoxyvitamin D2 [c] --> 1.00 * 24R,25-Dihyoxyvitamin D2 [e]
No genes",NA,"Transport, extracellular",N/A,2
24_25DHVITD2tm,"24,25-Dihydroxyvitamin D2 transport from mitochondria","1.00 * 24R,25-Dihyoxyvitamin D2 [m] --> 1.00 * 24R,25-Dihyoxyvitamin D2 [c]
No genes",NA,"Transport, mitochondrial",N/A,2
24_25DHVITD3t,"24,25-Dihydroxyvitamin D3 transport from cytoplasm","1.00 * (24R)-24,25-dihydroxycalciol [c] --> 1.00 * (24R)-24,25-dihydroxycalciol [e]
No genes",NA,"Transport, extracellular",N/A,2
24_25DHVITD3tm,"24,25-Dihydroxyvitamin D3 transport from mitochondria","1.00 * (24R)-24,25-dihydroxycalciol [m] --> 1.00 * (24R)-24,25-dihydroxycalciol [c]
No genes",NA,"Transport, mitochondrial",N/A,2
24_25VITD2Hm,24R-Vitamin D-25-hydroxylase (D2),"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * 25-Hydroxyvitamin D2 [m] --> 1.00 * 24R,25-Dihyoxyvitamin D2 [m] + 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m]
CYP24A1",CYP24A1,Vitamin D metabolism,N/A,4
24_25VITD3Hm,24R-Vitamin D-25-hydroxylase (D3),"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * calcidiol [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * (24R)-24,25-dihydroxycalciol [m]
CYP24A1",CYP24A1,Vitamin D metabolism,N/A,4
24NPHte,xenobiotic transport,"1.00 * 2-hydroxy-4-nitrophenolate [e] --> 1.00 * 2-hydroxy-4-nitrophenolate [c]
No genes",NA,"Transport, extracellular",N/A,2
25HVITD2t,25-hydroxyvitamin D2 transport from cytoplasm,"1.00 * 25-Hydroxyvitamin D2 [c] --> 1.00 * 25-Hydroxyvitamin D2 [e]
No genes",NA,"Transport, extracellular",N/A,2
25HVITD2tin,25-hydroxyvitamin D2 transport in cytoplasm,"1.00 * 25-Hydroxyvitamin D2 [e] --> 1.00 * 25-Hydroxyvitamin D2 [c]
No genes",NA,"Transport, extracellular",N/A,2
25HVITD2tin_m,25-hydroxyvitamin D2 transport in mitochondria,"1.00 * 25-Hydroxyvitamin D2 [c] --> 1.00 * 25-Hydroxyvitamin D2 [m]
No genes",NA,"Transport, mitochondrial",N/A,2
25HVITD2tm,25-hydroxyvitamin D2 transport from mitochondria,"1.00 * 25-Hydroxyvitamin D2 [m] --> 1.00 * 25-Hydroxyvitamin D2 [c]
No genes",NA,"Transport, mitochondrial",N/A,2
25HVITD3t,25-hydroxyvitamin D3 transport from cytoplasm,"1.00 * calcidiol [c] --> 1.00 * calcidiol [e]
No genes",NA,"Transport, extracellular",N/A,2
25HVITD3tin,25-hydroxyvitamin D3 transport in cytoplasm,"1.00 * calcidiol [e] --> 1.00 * calcidiol [c]
CUBN; GC; LRP2",CUBN; GC; LRP2,"Transport, extracellular",N/A,2
25HVITD3tin_m,25-hydroxyvitamin D3 transport in mitochondria,"1.00 * calcidiol [c] --> 1.00 * calcidiol [m]
No genes",NA,"Transport, mitochondrial",N/A,2
25HVITD3tm,25-hydroxyvitamin D3 transport from mitochondria,"1.00 * calcidiol [m] --> 1.00 * calcidiol [c]
No genes",NA,"Transport, mitochondrial",N/A,2
25VITD2Hm,1-alpha-Vitamin D-25-hydroxylase (D2),"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * 25-Hydroxyvitamin D2 [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * 1-alpha,25-Dihydroxyvitamin D2 [m]
CYP27B1",CYP27B1,Vitamin D metabolism,N/A,4
25VITD3Hm,1-alpha-Vitamin D-25-hydroxylase (D3),"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * calcidiol [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * calcitriol [m]
CYP27B1",CYP27B1,Vitamin D metabolism,N/A,4
2AMACHYD,2-Aminoacrylate hydrolysis,"1.00 * Water [c] + 1.00 * 2-aminoacrylic acid [c] --> 1.00 * Ammonium [c] + 1.00 * pyruvate [c]
SDS",SDS,"Glycine, serine, alanine and threonine metabolism",N/A,4
2AMACSULT,2-Aminoacrylate sulfotransferase,"1.00 * 2-aminoacrylic acid [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] --> 1.00 * L-cysteate(1-) [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c]
SULT1A1",SULT1A1,Methionine and cysteine metabolism,N/A,2
2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria),"1.00 * L-2-aminoadipate(1-) [c] + 1.00 * 2-Oxoglutarate [m] --> 1.00 * L-2-aminoadipate(1-) [m] + 1.00 * 2-Oxoglutarate [c]
SLC25A21",SLC25A21,Lysine metabolism,N/A,4
2DR1PP,2-deoxy-D-ribose 1-phosphate phosphorylase,"1.00 * Water [c] + 1.00 * 2-Deoxy-D-ribose 1-phosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 2-deoxy-D-ribose [c]
No genes",NA,Pyrimidine catabolism,3.1.3.10,2
