	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	cluster_12	cluster_13	cluster_14	cluster_15	cluster_16	cluster_17	cluster_18	cluster_19	cluster_20	cluster_21	cluster_22	cluster_23	cluster_24	cluster_25	cluster_26	cluster_27	cluster_28
EIF4G3	14.979602847091346	13.260707171695774	5.8290437226385	17.596042898211554	5.55581665000874	7.49848071625624	33.2890649873439	2.01458453092935	64.9880472415171	17.42893532760009	29.167440606805638	13.696394634449225	13.937242283428589	25.780951860494	15.729193057709038	0.0	10.9994742265802	15.915999807678146	16.775326193086144	7.78759517765295	14.079227836908036	3.48753624768434	1.9744774521795	5.060125074317751	14.651030591280204	16.64175691657052	9.05266009397179	11.56814523828158	12.87248976657789
HP1BP3	36.112544490374006	54.92206508442242	21.6514722895393	24.571613371157746	7.23975836354161	23.8430148091431	8.23328060434505	45.1217653480989	1.20041532462423	41.310089831931435	35.80220747210785	30.291126188607407	30.978215039391774	156.298906933684	37.66027672114631	31.7613591829025	29.1063895795379	49.2260823871289	48.7978461032539	34.5131171697401	34.16091405709349	40.3090598116559	94.3572605590419	32.7516127265524	29.41076929887159	34.8015224357775	71.2440286372529	44.46546589919577	22.036482423909053
DDOST	28.81648048080148	41.74569293915405	75.909578891028	39.546173761123434	25.9868278896561	119.097204280339	163.301764209783	19.8827625910592	5.53920185539302	42.631692505505356	62.10895348505358	46.506448776925005	39.752305718695226	26.9343713629791	43.060964974141115	20.6201257843253	31.4002129847793	26.806695605814756	26.8653902649945	0.0	36.390184124383254	1.3798107321279	27.9462589931733	49.27987800023878	30.935997911382724	28.011322236518346	0.0	27.544342521448087	42.178591411079424
PINK1	1.5702270331349761	0.961678036086175	28.6298933284351	0.8060687350278377	0.0	0.0	0.0	13.4203268902198	0.0	0.0	2.060649232471901	0.6118709267010184	2.2553394948083416	0.0	0.0	0.0	9.90851047987062	0.35137131164718544	2.198881535859576	8.27983742512281	0.6193699330670962	0.0	0.0	6.455351328494571	0.14260504494993037	0.0	0.0	0.23640545112151093	0.0
MUL1	6.933794377686605	17.97793605358451	0.0	11.674113331395327	32.3387945680885	0.0	0.0	12.0698190736455	0.0	19.59733322412249	6.491039181804449	16.75913585127996	9.040862399794891	70.2990423976831	4.899108665572909	43.0610360928651	0.0	10.467120943918387	14.448340964378762	0.0	15.76814733452004	42.1870956923964	0.0	12.484778893522192	9.690147218255145	0.0	80.0682886586341	2.3856206768741752	16.48688657438105
TMCO4	2.068049163860517	4.2821087455423745	0.0	2.3331567128961868	10.4738992398496	0.0	0.0	0.0	0.0	6.155475774979774	6.915735776633764	2.2659572588804062	3.142355553176196	0.0	4.539433976722194	0.0	0.543634638847284	1.7932054669652429	1.4494683658200462	0.0	3.3454336271248946	0.0	0.0	4.650453989391094	3.3029306686051294	3.16710395549638	0.0	3.9345225463955713	1.4156356370009575
MINOS1	153.28431396822387	150.62653507291273	248.161128863743	136.2870692350418	127.981507364208	211.376241132138	214.704001139776	45.5996118572767	138.030043033181	134.2013437289768	152.7193551325299	176.35623017944852	168.39190479692783	221.220658837552	164.00925523416518	111.294648616846	176.263084067571	147.37657756344407	133.37196311332488	220.560234092435	160.358609650883	101.166752499962	135.164376494484	174.41092489240273	191.90471456783916	143.7848637769295	161.688762384302	143.43770969155938	164.02872829854243
CAPZB	277.423303756828	261.11262250914695	117.177852599562	278.47220465283294	47.6073527876087	308.099534349088	623.646422322046	237.424431124098	209.831590891842	194.79360695650618	268.63709830530536	210.01101781103978	210.42836024944094	346.42465199843	209.1360396028757	403.542849767111	141.483052840006	255.59402261364914	229.2316711081478	636.316429453734	281.4588639500872	302.074832037109	639.910687781084	211.85382477706435	222.3478551501386	143.76387966063498	315.623150241949	259.1266491039597	226.60949798056853
PQLC2	2.499607317266339	10.85253828348295	0.0	7.508348486845721	55.6925842873832	0.0	0.0	137.067576883732	0.0	6.452244142767153	20.10840097509202	8.365536367984145	7.402387440003833	0.0	5.652100407200729	0.0	0.0	8.642761630214123	6.565614519099118	9.545232758946	3.252516851742586	0.0	3.15033981880547	13.796092580410162	5.216899652320186	0.0	0.0	2.5319586831006657	14.194094460019178
AKR7A5	2.590418349753239	4.029220856586052	0.0	3.625829949562576	12.1228757656509	0.0	0.0	0.0	0.0	2.9857998205439524	4.983645402628034	2.021849579308373	2.246676860150065	24.4164675907391	1.9618080985989026	0.0	15.4910376933293	2.486134189705062	4.194437531992892	0.0	0.5210589057322192	0.0	5.65348439794027	3.693971123119456	2.048324502041829	0.0	0.0	12.382172500449789	3.890634552353388
