ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,GENE_ASSOCIATION (SYMBOL),LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
MAR03905,ethanol:NAD+ oxidoreductase,ethanol[c] + NAD+[c] => acetaldehyde[c] + H+[c] + NADH[c],1.1.1.1;1.1.1.71,ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144,ADHFE1 or ADH6 or ZADH2 or ADH1A or ADH7 or ADH1B or ADH5 or ADH4 or ADH1C,,,,,kegg.reaction/R00754;bigg.reaction/ALCD2x;vmhreaction/ALCD2if;metanetx.reaction/MNXR95725;rhea/25291;rhea/25290;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:10868354;PMID:12491384;PMID:12818203;PMID:14674758;PMID:15289102;PMID:15299346;PMID:15327949;PMID:15682493;PMID:15713978,0
MAR03907,Ethanol:NADP+ oxidoreductase,ethanol[c] + NADP+[c] => acetaldehyde[c] + H+[c] + NADPH[c],1.1.1.2,ENSG00000117448,AKR1A1,,,,,kegg.reaction/R00746;bigg.reaction/ALCD2y;vmhreaction/ALCD2yf;metanetx.reaction/MNXR95726;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,,0
MAR04097,Acetate:CoA ligase (AMP-forming),acetate[c] + ATP[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + PPi[c],6.2.1.1,ENSG00000131069,ACSS2,,,,,kegg.reaction/R00235;bigg.reaction/ACS;vmhreaction/ACS;metanetx.reaction/MNXR95413;rhea/23177;rhea/23176;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:10843999;PMID:11150295;PMID:2884217;PMID:4737256;PMID:5995,0
MAR04099,Acetate:CoA ligase (AMP-forming),acetate[m] + ATP[m] + CoA[m] => acetyl-CoA[m] + AMP[m] + PPi[m],6.2.1.1,ENSG00000111058 or ENSG00000154930,ACSS3 or ACSS1,,,,,kegg.reaction/R00235;bigg.reaction/ACSm;vmhreaction/ACSm;metanetx.reaction/MNXR95413;rhea/23177;rhea/23176;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:10843999;PMID:11150295;PMID:2884217;PMID:4737256;PMID:5995,0
MAR04108,acetyl adenylate:CoA acetyltransferase,acetyl adenylate[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + H+[c],6.2.1.1,ENSG00000131069,ACSS2,,,,,kegg.reaction/R00236;vmhreaction/r0068;metanetx.reaction/MNXR105304;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:10843999;PMID:14086739;PMID:238571;PMID:2901103,0
MAR04133,ATP:acetate adenylyltransferase,acetate[c] + ATP[c] + H+[c] => acetyl adenylate[c] + PPi[c],6.2.1.1,ENSG00000131069,ACSS2,,,,,kegg.reaction/R00316;vmhreaction/r0097;metanetx.reaction/MNXR105307;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:10843999;PMID:14086739;PMID:238571;PMID:2901103,0
MAR04281,(S)-Lactate:NAD+ oxidoreductase,H+[x] + NADH[x] + pyruvate[x] <=> L-lactate[x] + NAD+[x],1.1.1.27,ENSG00000111716 or ENSG00000134333,LDHB or LDHA,,,,,kegg.reaction/R00703;vmhreaction/r0173;metanetx.reaction/MNXR101040;rhea/23444;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:12042361;PMID:17045662;PMID:7449128;PMID:9927705;PMID:25247702,0
MAR04388,(S)-Lactate:NAD+ oxidoreductase,H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c],1.1.1.27,ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989,LDHB or LDHA or LDHC or LDHAL6A or LDHAL6B,,,,,kegg.reaction/R00703;bigg.reaction/LDH_L;vmhreaction/LDH_L;metanetx.reaction/MNXR101040;rhea/23444;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:12042361;PMID:17045662;PMID:7449128;PMID:9927705,0
MAR04283,Acetaldehyde:NADP+ oxidoreductase,acetaldehyde[c] + H2O[c] + NADP+[c] => acetate[c] + 2 H+[c] + NADPH[c],1.2.1.5,ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,ALDH3B1 or ALDH3A1 or ALDH3B2 or ALDH1A3,,,,,kegg.reaction/R00711;vmhreaction/ALDD2y;metanetx.reaction/MNXR95750;rhea/25299;rhea/25298;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,PMID:16411662;PMID:2060039;PMID:7779080;PMID:8155713;PMID:8605195;PMID:9228057,0
MAR08357,Acetaldehyde:NAD+ oxidoreductase,acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + 2 H+[m] + NADH[m],1.2.1.3,ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904,ALDH3A2 or ALDH2 or ALDH1B1 or ALDH9A1 or ALDH7A1,,,,,kegg.reaction/R00710;bigg.reaction/ALDD2xm;vmhreaction/ALDD2xm;metanetx.reaction/MNXR106570;metanetx.reaction/MNXR95749;rhea/25295;rhea/25294;sbo/SBO:0000176,Glycolysis / Gluconeogenesis,,,,0
