ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
MAR00001,,chylomicron[e] => chylomicron remnant[e] + 77243 TAG-chylomicron pool[e],3.1.1.34;3.1.1.23,ENSG00000074416 or ENSG00000100997 or ENSG00000115884 or ENSG00000163686 or ENSG00000175445 or ENSG00000277494,,,,,reactome/R-HSA-174757;vmhreaction/HMR_0001;sbo/SBO:0000176,Acylglycerides metabolism,,,PMID:3942763;PMID:1279089;PMID:5057882;PMID:8728311;PMID:16200213,0
MAR00002,triacylglycerol acylhydrolase,"H2O[e] + TAG-chylomicron pool[e] => 1,2-diacylglycerol-chylomicron pool[e] + fatty acid-chylomicron pool[e]",3.1.1.34,ENSG00000175445,,,,,kegg.reaction/R02250;vmhreaction/HMR_0002;sbo/SBO:0000176,Acylglycerides metabolism,,,,0
MAR00003,"1,2-diacyl-sn-glycerol acylhydrolase","1,2-diacylglycerol-chylomicron pool[e] + H2O[e] => 1-acylglycerol-chylomicron pool[e] + fatty acid-chylomicron pool[e]",3.1.1.3,ENSG00000006757 or ENSG00000079435 or ENSG00000100344 or ENSG00000101670 or ENSG00000114771 or ENSG00000134780 or ENSG00000164535 or ENSG00000166035 or ENSG00000170835 or ENSG00000175535 or ENSG00000177666 or ENSG00000182333 or ENSG00000187021 or ENSG00000203837 or ENSG00000266200,,,,,kegg.reaction/R02687;vmhreaction/HMR_0003;sbo/SBO:0000176,Acylglycerides metabolism,,,PMID:11040182;PMID:1379598;PMID:11812220;PMID:15224187,0
MAR00005,1-acylglycerol acylhydrolase,1-acylglycerol-chylomicron pool[c] + H2O[c] => glycerol[c] + fatty acid-chylomicron pool[c],3.1.1.23,ENSG00000074416 or ENSG00000100997 or ENSG00000163686,,,,,kegg.reaction/R01351;vmhreaction/HMR_0005;rhea/34019;sbo/SBO:0000176,Acylglycerides metabolism,,,PMID:2318975;PMID:15272052;PMID:8526865;PMID:889853;PMID:9341166;,0
MAR00006,,VLDL[e] => 10385 TAG-VLDL pool[e] + VLDL remnant[e],3.1.1.34;3.1.1.23,ENSG00000074416 or ENSG00000100997 or ENSG00000115884 or ENSG00000163686 or ENSG00000175445 or ENSG00000277494,,,,,vmhreaction/HMR_0006;sbo/SBO:0000176,Transport reactions,,,,0
MAR00007,triacylglycerol acylhydrolase,"H2O[e] + TAG-VLDL pool[e] => 1,2-diacylglycerol-VLDL pool[e] + fatty acid-VLDL pool[e]",3.1.1.34,ENSG00000175445,,,,,kegg.reaction/R02250;vmhreaction/HMR_0007;sbo/SBO:0000176,Transport reactions,,,,0
MAR00008,"1,2-diacyl-sn-glycerol acylhydrolase","1,2-diacylglycerol-VLDL pool[e] + H2O[e] => 1-acylglycerol-VLDL pool[e] + fatty acid-VLDL pool[e]",3.1.1.34,ENSG00000175445,,,,,kegg.reaction/R02687;vmhreaction/HMR_0008;sbo/SBO:0000176,Transport reactions,,,,0
MAR00010,1-acylglycerol acylhydrolase,1-acylglycerol-VLDL pool[c] + H2O[c] => glycerol[c] + fatty acid-VLDL pool[c],3.1.1.23,ENSG00000074416 or ENSG00000100997 or ENSG00000163686,,,,,kegg.reaction/R01351;vmhreaction/HMR_0010;rhea/34019;sbo/SBO:0000176,Pool reactions,,,,0
MAR00013,,HDL[e] => 20 cholesterol[e] + 160 cholesterol-ester pool[e] + HDL remnant[e],3.1.1.34,ENSG00000175445,,,,,vmhreaction/HMR_0013;sbo/SBO:0000176,Pool reactions,,,,0
MAR00014,,LDL[e] => 680 cholesterol[e] + 1515 cholesterol-ester pool[e] + LDL remnant[e],3.1.1.34,ENSG00000175445,,,,,vmhreaction/HMR_0014;sbo/SBO:0000176,Pool reactions,,,,0
MAR00018,,cholesterol[c] <=> cholesterol[e],,ENSG00000015520,,,,,reactome/R-HSA-265443;vmhreaction/CHOLESTTDe;vmhreaction/r1050;metanetx.reaction/MNXR96700;rhea/39750;rhea/39747;sbo/SBO:0000185,Transport reactions,,,,0
MAR00031,,"0.19 1,2-diacylglycerol-LD-TAG pool[c] + 0.0014 1-acyl-PE pool[c] + 0.0024 1-radyl-2-acyl-sn-glycero-3-phosphocholine[c] + 0.0006 2-lysolecithin pool[c] + 0.005 cholesterol[c] + 0.34 cholesterol-ester pool[c] + 0.0008 O-1-alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine[c] + 0.0092 PC-LD pool[c] + 0.0034 PE-LD pool[c] + 0.0016 PI pool[c] + 0.0002 PS-LD pool[c] + 0.0004 SM pool[c] + 0.44 TAG-LD pool[c] + 0.005 fatty acid pool[c] => lipid droplet[c]",,ENSG00000105355 or ENSG00000139914 or ENSG00000147872 or ENSG00000166819 or ENSG00000167676 or ENSG00000168000 or ENSG00000197296,,,,,vmhreaction/HMR_0031;sbo/SBO:0000176,Pool reactions,,,,0
MAR00043,3-Hydroxyisobutyryl-Coenzyme A Hydrolase,H2O[c] + 3-hydroxypropionyl-CoA[c] => CoA[c] + H+[c] + hydracrylate[c],3.1.2.4,ENSG00000198130,,,,,bigg.reaction/3HPCOAHYD;vmhreaction/3HPCOAHYD;metanetx.reaction/MNXR94900;sbo/SBO:0000176,Beta-alanine metabolism,,,PMID:8824301,0
MAR00050,5-Formyltetrahydrofolate Transport via Anion Antiport,5-formyl-THF[e] + H2O[c] <=> 5-formyl-THF[c] + H2O[e],,ENSG00000173638,,,,,bigg.reaction/5FTHFt2;vmhreaction/5FTHFt2;metanetx.reaction/MNXR95074;sbo/SBO:0000185,Transport reactions,,,PMID:11375437;PMID:14770311,0
MAR00051,"5-Hydroxyindoleacetaldehyde:NAD+ Oxidoreductase, Mitochondrial",H2O[m] + NAD+[m] + 5-hydroxyindoleacetaldehyde[m] => 2 H+[m] + NADH[m] + 5-hydroxyindoleacetate[m],1.5.1.12,ENSG00000111275 or ENSG00000137124,,,,,bigg.reaction/5HOXINDACTOXm;vmhreaction/5HOXINDACTOXm;metanetx.reaction/MNXR95081;sbo/SBO:0000176,Tryptophan metabolism,,,PMID:11306106,0
MAR00052,5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven),5-hydroxy-L-tryptophan[c] + ATP[c] + H2O[c] => 5-hydroxy-L-tryptophan[e] + ADP[c] + H+[c] + Pi[c],1.13.11.52,ENSG00000036565 or ENSG00000165646,,,,,bigg.reaction/5HTRPVESSEC;vmhreaction/5HTRPVESSEC;metanetx.reaction/MNXR95084;sbo/SBO:0000185,Transport reactions,,,PMID:12827358;PMID:15383652,0
MAR00053,5-Methyltetrahydrofolate Transport via Anion Antiport,5-methyl-THF[e] + H2O[c] <=> 5-methyl-THF[c] + H2O[e],,ENSG00000173638,,,,,bigg.reaction/5MTHFt2;vmhreaction/5MTHFt2;metanetx.reaction/MNXR95089;sbo/SBO:0000185,Transport reactions,,,PMID:11375437;PMID:14770311,0
MAR00055,Alpha-Mannosidase,"2 H2O[c] + (alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine[c] => 2 mannose[c] + beta-1,4-mannose-N-acetylglucosamine[c]",3.2.1.24,ENSG00000140400,,,,,bigg.reaction/A_MANASE;vmhreaction/A_MANASE;metanetx.reaction/MNXR96148;sbo/SBO:0000176,N-glycan metabolism,,,,0
MAR00058,Acetylcholine Secretion via Secretory Vesicle (ATP Driven),acetylcholine[c] + ATP[c] + H2O[c] => acetylcholine[e] + ADP[c] + H+[c] + Pi[c],,ENSG00000187714,,,,,bigg.reaction/ACHVESSEC;vmhreaction/ACHVESSEC;metanetx.reaction/MNXR95266;sbo/SBO:0000185,Transport reactions,,,PMID:12827358;PMID:15383652,0
MAR00060,O-Acetylcarnintine Transport into Mitochondria via Diffusion,O-acetylcarnitine[c] <=> O-acetylcarnitine[m],3.1.3.2,ENSG00000178537,,,,,bigg.reaction/ACRNtm;vmhreaction/ACRNtm;metanetx.reaction/MNXR95412;sbo/SBO:0000185,Transport reactions,,,PMID:14598172;PMID:977593,0
MAR00062,"ADPribose Diphosphatase, Mitochondrial",H2O[m] + ADP-ribose[m] => AMP[m] + 2 H+[m] + ribose-5-phosphate[m],3.6.1.13,ENSG00000170502,,,,,bigg.reaction/ADPRDPm;vmhreaction/ADPRDPm;metanetx.reaction/MNXR95480;sbo/SBO:0000176,Nucleotide metabolism,,,PMID:12427752;PMID:12948489;PMID:15347676,0
MAR00064,Transport into the Mitochondria (Carnitine),ocosatetraenoylcarnitine[c] <=> ocosatetraenoylcarnitine[m],,ENSG00000178537,,,,,bigg.reaction/ADRNCRNt;vmhreaction/ADRNCRNt;metanetx.reaction/MNXR95487;sbo/SBO:0000185,Fatty acid oxidation,,,,0
MAR00065,Adrenaline Secretion via Secretory Vesicle (ATP Driven),adrenaline[c] + ATP[c] + H2O[c] => ADP[c] + adrenaline[e] + H+[c] + Pi[c],,ENSG00000036565 or ENSG00000165646,,,,,bigg.reaction/ADRNLPVESSEC;vmhreaction/ADRNLPVESSEC;metanetx.reaction/MNXR95488;sbo/SBO:0000185,Transport reactions,,,PMID:12827358;PMID:15383652,0
MAR00067,"Aldehyde Dehydrogenase (Pristanal, NAD)",H2O[c] + NAD+[c] + 2(S)-pristanal[c] => 2 H+[c] + NADH[c] + (2S)-pristanic acid[c],,ENSG00000072210,,,,,bigg.reaction/ALDD21;bigg.reaction/RE3076X;bigg.reaction/R_ALDD21;bigg.reaction/R_RE3076X;vmhreaction/ALDD21;metanetx.reaction/MNXR95747;rhea/44016;sbo/SBO:0000176,Fatty acid oxidation,,,PMID:11591435;PMID:8528251,0
MAR00068,Alkaline Phosphatase,DHAP[c] + H2O[c] => Pi[c] + glycerone[c],3.1.3.1,ENSG00000162551 or ENSG00000163283 or ENSG00000163286 or ENSG00000163295,,,,,bigg.reaction/ALKP;vmhreaction/ALKP;metanetx.reaction/MNXR95764;sbo/SBO:0000176,Glycerophospholipid metabolism,,,PMID:3042787,0
MAR00072,"Alpha-Amylase, Extracellular (Glygn2 -> Glygn4)","8 H2O[e] + glycogenin G4G7[e] => 8 glucose[e] + Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})[e]",3.2.1.1,(ENSG00000021488 and ENSG00000138079) or ENSG00000168003 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,,,,,bigg.reaction/AMY2e;vmhreaction/AMY2e;metanetx.reaction/MNXR95833;sbo/SBO:0000176,Starch and sucrose metabolism,,,,0
MAR00076,Transport into the Mitochondria (Carnitine),eicosanoylcarnitine[c] <=> eicosanoylcarnitine[m],,ENSG00000178537,,,,,bigg.reaction/ARACHCRNt;vmhreaction/ARACHCRNt;metanetx.reaction/MNXR95916;sbo/SBO:0000185,Fatty acid oxidation,,,,0
MAR00079,Arginine Mitochondrial Transport via Ornithine Carrier,arginine[c] + H+[m] <=> arginine[m] + H+[c],4.3.2.1,ENSG00000102743 or ENSG00000120329,,,,,bigg.reaction/ARGtm;vmhreaction/ARGtm;metanetx.reaction/MNXR95954;tcdb/2.A.29.19.1;sbo/SBO:0000185,Transport reactions,,,PMID:14598172;PMID:8132483,0
MAR00086,"Biotin-[Acetyl Coenzyme A-Carboxylase] Ligase, Mitochondrial",ATP[m] + H+[m] + biotin[m] => PPi[m] + biotinyl-5-AMP[m],6.3.4.15,ENSG00000159267,,,,,bigg.reaction/BACCLm;vmhreaction/BACCLm;metanetx.reaction/MNXR96208;sbo/SBO:0000176,Biotin metabolism,,,PMID:12459313;PMID:7842009,0
MAR00087,B-Alanine Secretion via Secretory Vesicle (ATP Driven),ATP[c] + beta-alanine[c] + H2O[c] => ADP[c] + beta-alanine[e] + H+[c] + Pi[c],2.3.1.65,ENSG00000101438,,,,,bigg.reaction/BALAVECSEC;vmhreaction/BALAVECSEC;metanetx.reaction/MNXR96211;sbo/SBO:0000185,Transport reactions,,,PMID:12750892;PMID:15383652,0
MAR00088,"Beta-Aminopropion Aldehyde:NAD+ Oxidoreductase, Mitochondrial",H2O[m] + NAD+[m] + 3-amino-propanal[m] => beta-alanine[m] + 2 H+[m] + NADH[m],1.5.1.12,ENSG00000111275 or ENSG00000137124 or ENSG00000159423,,,,,bigg.reaction/BAMPPALDOXm;vmhreaction/BAMPPALDOXm;metanetx.reaction/MNXR95891;sbo/SBO:0000176,Beta-alanine metabolism,,,,0
MAR00091,"Biotinidase (Biotin), Mitochondrial",H2O[m] + biocytin[m] => lysine[m] + biotin[m],3.5.1.12,ENSG00000169814,,,,,bigg.reaction/BTNDm;vmhreaction/BTNDm;metanetx.reaction/MNXR96331;sbo/SBO:0000176,Biotin metabolism,,,PMID:12459313;PMID:15059618,0
MAR00092,"Holocarboxylase Synthestase (Biotin Protein Ligase), Mitochondrial",apoC-lys[m] + biotinyl-5-AMP[m] => AMP[m] + H+[m] + apoC-lys_btn[m],3.5.1.12,ENSG00000159267,,,,,bigg.reaction/BTNPLm;vmhreaction/BTNPLm;metanetx.reaction/MNXR96332;sbo/SBO:0000176,Biotin metabolism,,,,0
MAR00093,"Biotin Reversible Transport via Proton Symport, Mitochondria",biotin[c] + H+[c] <=> H+[m] + biotin[m],3.5.1.12,ENSG00000155380,,,,,bigg.reaction/BTNt2m;vmhreaction/BTNt2m;metanetx.reaction/MNXR96334;sbo/SBO:0000185,Transport reactions,,,PMID:12949353;PMID:15121743;PMID:16011464,0
MAR00094,Biotin Transport via Sodium Symport,ATP[c] + biotin[e] + H2O[c] + Na+[e] => ADP[c] + biotin[c] + H+[c] + Na+[c] + Pi[c],,ENSG00000138074,,,,,bigg.reaction/BTNt3i;vmhreaction/BTNt3i;metanetx.reaction/MNXR96336;sbo/SBO:0000185,Transport reactions,,,PMID:10329687;PMID:10334869;PMID:12646417;PMID:15561972;PMID:9516450,0
MAR00095,Biotin Uptake (Antiport),biotin[e] + H+[c] => biotin[c] + H+[e],,ENSG00000135917,,,,,bigg.reaction/BTNt4i;vmhreaction/BTNt4i;metanetx.reaction/MNXR96337;sbo/SBO:0000185,Transport reactions,,,PMID:14770311;PMID:15623830,0
MAR00097,"Butyrate Mitochondrial Transport via Proton Symport, Reversible",butyrate[c] + H+[c] <=> H+[m] + butyrate[m],,ENSG00000155380,,,,,bigg.reaction/BUTt2m;vmhreaction/BUTt2m;metanetx.reaction/MNXR96353;sbo/SBO:0000185,Transport reactions,,,,0
MAR00102,C160 Transport into the Mitochondria,L-palmitoylcarnitine[c] <=> L-palmitoylcarnitine[m],,ENSG00000178537,,,,,bigg.reaction/C160CRNt;vmhreaction/C160CRNt;metanetx.reaction/MNXR96385;sbo/SBO:0000185,Fatty acid oxidation,,,PMID:14598172,0
