id,name,compartment
MAM00001c,(-)-trans-carveol,c
MAM00001e,(-)-trans-carveol,e
MAM00002c,(+)-alpha-pinene,c
MAM00002e,(+)-alpha-pinene,e
MAM00003c,(10Z)-heptadecenoic acid,c
MAM00003e,(10Z)-heptadecenoic acid,e
MAM00004c,(10Z)-heptadecenoyl-CoA,c
MAM00004m,(10Z)-heptadecenoyl-CoA,m
MAM00005c,(11R)-HPETE,c
MAM00006c,(11Z)-docosenoyl-CoA,c
MAM00006m,(11Z)-docosenoyl-CoA,m
MAM00007c,(11Z)-eicosenoyl-CoA,c
MAM00007m,(11Z)-eicosenoyl-CoA,m
MAM00008c,"(11Z,14Z)-eicosadienoic acid",c
MAM00008e,"(11Z,14Z)-eicosadienoic acid",e
MAM00009c,"(11Z,14Z)-eicosadienoyl-CoA",c
MAM00009m,"(11Z,14Z)-eicosadienoyl-CoA",m
MAM00010c,"(11Z,14Z,17Z)-eicosatrienoic acid",c
MAM00010e,"(11Z,14Z,17Z)-eicosatrienoic acid",e
MAM00011c,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",c
MAM00011m,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",m
MAM00012c,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",c
MAM00012m,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",m
MAM00013c,"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",c
MAM00016c,(13Z)-docosenoyl-CoA,c
MAM00016m,(13Z)-docosenoyl-CoA,m
MAM00017c,(13Z)-eicosenoic acid,c
MAM00017e,(13Z)-eicosenoic acid,e
MAM00018c,(13Z)-eicosenoyl-CoA,c
MAM00018m,(13Z)-eicosenoyl-CoA,m
MAM00019c,(13Z)-octadecenoic acid,c
MAM00019e,(13Z)-octadecenoic acid,e
MAM00020c,(13Z)-octadecenoyl-CoA,c
MAM00020m,(13Z)-octadecenoyl-CoA,m
MAM00021c,"(13Z,16Z)-docosadienoic acid",c
MAM00021e,"(13Z,16Z)-docosadienoic acid",e
MAM00022c,"(13Z,16Z)-docosadienoylcarnitine",c
MAM00022m,"(13Z,16Z)-docosadienoylcarnitine",m
MAM00023c,"(13Z,16Z)-docosadienoyl-CoA",c
MAM00023m,"(13Z,16Z)-docosadienoyl-CoA",m
MAM00024c,(15Z)-tetracosenoylcarnitine,c
MAM00025c,(15Z)-tetracosenoyl-CoA,c
MAM00026m,(18E)-20-oxo-20-CoA-LTB4,m
MAM00028c,(18R)-HEPE,c
MAM00030c,"(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol",c
MAM00031c,"(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",c
MAM00032c,"(1R,2S)-naphthalene 1,2-oxide",c
MAM00032e,"(1R,2S)-naphthalene 1,2-oxide",e
MAM00033c,"(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",c
MAM00034c,"(1S,2R)-naphthalene 1,2-oxide",c
MAM00035c,"(24R)-24,25-dihydroxycalciol",c
MAM00035m,"(24R)-24,25-dihydroxycalciol",m
MAM00035e,"(24R)-24,25-dihydroxycalciol",e
MAM00038c,(2E)-decenoyl-[ACP],c
MAM00039m,(2E)-decenoyl-CoA,m
MAM00040c,(2E)-docosenoyl-CoA,c
MAM00040m,(2E)-docosenoyl-CoA,m
MAM00041c,(2E)-dodecenoyl-[ACP],c
MAM00042m,(2E)-dodecenoyl-CoA,m
MAM00043c,(2E)-eicosenoyl-CoA,c
MAM00043m,(2E)-eicosenoyl-CoA,m
MAM00044c,(2E)-heneicosenoyl-CoA,c
MAM00044m,(2E)-heneicosenoyl-CoA,m
MAM00045c,(2E)-heptadecenoyl-[ACP],c
MAM00046m,(2E)-heptadecenoyl-CoA,m
MAM00047c,(2E)-heptenoyl-[ACP],c
MAM00048m,(2E)-heptenoyl-CoA,m
MAM00049c,(2E)-hexacosenoyl-CoA,c
MAM00050c,(2E)-hexadecenoyl-[ACP],c
MAM00051m,(2E)-hexadecenoyl-CoA,m
MAM00052c,(2E)-hexenoyl-[ACP],c
MAM00053m,(2E)-hexenoyl-CoA,m
MAM00054c,(2E)-nonadecenoyl-CoA,c
MAM00054m,(2E)-nonadecenoyl-CoA,m
MAM00055c,(2E)-nonenoyl-[ACP],c
MAM00056m,(2E)-nonenoyl-CoA,m
MAM00057c,(2E)-octadecenoyl-CoA,c
MAM00057m,(2E)-octadecenoyl-CoA,m
MAM00058c,(2E)-octenoyl-[ACP],c
MAM00059m,(2E)-octenoyl-CoA,m
MAM00060c,(2E)-pentadecenoyl-[ACP],c
MAM00061m,(2E)-pentadecenoyl-CoA,m
MAM00062c,(2E)-pentenoyl-[ACP],c
MAM00063m,(2E)-pentenoyl-CoA,m
MAM00064c,(2E)-tetracosenoyl-CoA,c
MAM00065c,(2E)-tetradecenoyl-[ACP],c
MAM00066m,(2E)-tetradecenoyl-CoA,m
MAM00067c,(2E)-tricosenoyl-CoA,c
MAM00068c,(2E)-tridecenoyl-[ACP],c
MAM00069m,(2E)-tridecenoyl-CoA,m
MAM00070c,(2E)-undecenoyl-[ACP],c
MAM00071m,(2E)-undecenoyl-CoA,m
MAM00072m,"(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA",m
MAM00073m,"(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA",m
MAM00074c,"(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",c
MAM00081m,"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA",m
MAM00082m,(3S)-3-hydroxydodec-cis-6-enoyl-CoA,m
MAM00083m,(3S)-3-hydroxylinoleoyl-CoA,m
MAM00084m,(3S)-citramalyl-CoA,m
MAM00085c,"(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA",c
MAM00086c,"(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA",c
MAM00087c,"(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA",c
MAM00088m,(3Z)-dodecenoyl-CoA,m
MAM00089m,"(3Z,7Z,10Z)-hexadecatrienoyl-CoA",m
MAM00091m,"(4Z,7Z,10Z)-hexadecatrienoyl-CoA",m
MAM00092c,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine",c
MAM00092m,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine",m
MAM00093c,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",c
MAM00093m,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",m
MAM00094c,"(4Z,7Z,10Z,13Z,16Z)-DPA",c
MAM00094e,"(4Z,7Z,10Z,13Z,16Z)-DPA",e
MAM00095c,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",c
MAM00095m,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",m
MAM00096c,(5)ppPur-mRNA,c
MAM00097e,(5-L-glutamyl)-L-amino acid,e
MAM00098c,"(5S,6S)-epoxy-(15R)-hydroxy-ETE",c
MAM00099m,(5Z)-dodecenoyl-CoA,m
MAM00100c,"(5Z,8Z,11Z)-eicosatrienoylcarnitine",c
MAM00100m,"(5Z,8Z,11Z)-eicosatrienoylcarnitine",m
MAM00101c,"(5Z,8Z,11Z)-eicosatrienoyl-CoA",c
MAM00101m,"(5Z,8Z,11Z)-eicosatrienoyl-CoA",m
MAM00102c,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine",c
MAM00102m,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine",m
MAM00103c,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA",c
MAM00103m,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA",m
MAM00104c,"(6Z,9Z)-octadecadienoic acid",c
MAM00104e,"(6Z,9Z)-octadecadienoic acid",e
MAM00105c,"(6Z,9Z)-octadecadienoylcarnitine",c
MAM00105m,"(6Z,9Z)-octadecadienoylcarnitine",m
MAM00106c,"(6Z,9Z)-octadecadienoyl-CoA",c
MAM00106m,"(6Z,9Z)-octadecadienoyl-CoA",m
MAM00107c,"(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine",c
MAM00107m,"(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine",m
MAM00108c,"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA",c
MAM00108m,"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA",m
MAM00109c,"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine",c
MAM00110c,"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA",c
MAM00111c,"(6Z,9Z,12Z,15Z,18Z)-TPA",c
MAM00111e,"(6Z,9Z,12Z,15Z,18Z)-TPA",e
MAM00112c,"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine",c
MAM00113c,"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA",c
MAM00114c,"(6Z,9Z,12Z,15Z,18Z,21Z)-THA",c
MAM00114e,"(6Z,9Z,12Z,15Z,18Z,21Z)-THA",e
MAM00115c,(7Z)-octadecenoic acid,c
MAM00115e,(7Z)-octadecenoic acid,e
MAM00116c,(7Z)-octadecenoyl-CoA,c
MAM00116m,(7Z)-octadecenoyl-CoA,m
MAM00117c,(7Z)-tetradecenoic acid,c
MAM00117e,(7Z)-tetradecenoic acid,e
MAM00118c,(7Z)-tetradecenoyl-CoA,c
MAM00118m,(7Z)-tetradecenoyl-CoA,m
MAM00119c,"(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA",c
MAM00119m,"(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA",m
MAM00120c,"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine",c
MAM00120m,"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine",m
MAM00121c,"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA",c
MAM00121m,"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA",m
MAM00122c,"(8Z,11Z)-eicosadienoylcarnitine",c
MAM00122m,"(8Z,11Z)-eicosadienoylcarnitine",m
MAM00123c,"(8Z,11Z)-eicosadienoyl-CoA",c
MAM00123m,"(8Z,11Z)-eicosadienoyl-CoA",m
MAM00124c,"(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine",c
MAM00124m,"(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine",m
MAM00125c,"(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA",c
MAM00125m,"(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA",m
MAM00126c,(9E)-octadecenoylcarnitine,c
MAM00126m,(9E)-octadecenoylcarnitine,m
MAM00127c,(9E)-octadecenoyl-CoA,c
MAM00127m,(9E)-octadecenoyl-CoA,m
MAM00128c,(9E)-tetradecenoic acid,c
MAM00128e,(9E)-tetradecenoic acid,e
MAM00129c,(9E)-tetradecenoyl-CoA,c
MAM00129m,(9E)-tetradecenoyl-CoA,m
MAM00130c,"(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine",c
MAM00131c,"(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA",c
MAM00132c,"(9Z,12Z,15Z,18Z)-TTA",c
MAM00132e,"(9Z,12Z,15Z,18Z)-TTA",e
MAM00133c,"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine",c
MAM00134c,"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA",c
MAM00135c,"(9Z,12Z,15Z,18Z,21Z)-TPA",c
MAM00135e,"(9Z,12Z,15Z,18Z,21Z)-TPA",e
MAM00136c,(ADP-D-ribosyl)n+1-acceptor,c
MAM00137c,(ADP-D-ribosyl)n-acceptor,c
MAM00157c,(R)-3-hydroxybutanoate,c
MAM00157m,(R)-3-hydroxybutanoate,m
MAM00157e,(R)-3-hydroxybutanoate,e
MAM00158c,(R)-3-hydroxybutanoyl-[ACP],c
MAM00159m,(R)-3-hydroxybutanoyl-CoA,m
MAM00160c,(R)-3-hydroxydecanoyl-[ACP],c
MAM00161c,(R)-3-hydroxyoctanoyl-[ACP],c
MAM00162c,(R)-3-hydroxypalmitoyl-[ACP],c
MAM00163c,(R)-4-phosphopantothenoyl-cysteine,c
MAM00163m,(R)-4-phosphopantothenoyl-cysteine,m
MAM00164c,(R)-5-diphosphomevalonate,c
MAM00165c,(R)-5-phosphomevalonate,c
MAM00166m,(R)-methylmalonyl-CoA,m
