ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
MAR00001,,chylomicron[e] => chylomicron remnant[e] + 77243 TAG-chylomicron pool[e],3.1.1.34;3.1.1.23,Abhd12 or Abhd6 or Gpihbp1 or Lpl or Mgll or Sdc1,,,,,,Acylglycerides metabolism,,,PMID:3942763;PMID:1279089;PMID:5057882;PMID:8728311;PMID:16200213,0
MAR00002,triacylglycerol acylhydrolase,"H2O[e] + TAG-chylomicron pool[e] => 1,2-diacylglycerol-chylomicron pool[e] + fatty acid-chylomicron pool[e]",3.1.1.34,Lpl,,,,,,Acylglycerides metabolism,,,,0
MAR00003,"1,2-diacyl-sn-glycerol acylhydrolase","1,2-diacylglycerol-chylomicron pool[e] + H2O[e] => 1-acylglycerol-chylomicron pool[e] + fatty acid-chylomicron pool[e]",3.1.1.3,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,,,,,,Acylglycerides metabolism,,,PMID:11040182;PMID:1379598;PMID:11812220;PMID:15224187,0
MAR00005,1-acylglycerol acylhydrolase,1-acylglycerol-chylomicron pool[c] + H2O[c] => fatty acid-chylomicron pool[c] + glycerol[c],3.1.1.23,Abhd12 or Abhd6 or Mgll,,,,,,Acylglycerides metabolism,,,PMID:2318975;PMID:15272052;PMID:8526865;PMID:889853;PMID:9341166;,0
MAR00006,,VLDL[e] => 10385 TAG-VLDL pool[e] + VLDL remnant[e],3.1.1.34;3.1.1.23,Abhd12 or Abhd6 or Gpihbp1 or Lpl or Mgll or Sdc1,,,,,,Transport reactions,,,,0
MAR00007,triacylglycerol acylhydrolase,"H2O[e] + TAG-VLDL pool[e] => 1,2-diacylglycerol-VLDL pool[e] + fatty acid-VLDL pool[e]",3.1.1.34,Lpl,,,,,,Transport reactions,,,,0
MAR00008,"1,2-diacyl-sn-glycerol acylhydrolase","1,2-diacylglycerol-VLDL pool[e] + H2O[e] => 1-acylglycerol-VLDL pool[e] + fatty acid-VLDL pool[e]",3.1.1.34,Lpl,,,,,,Transport reactions,,,,0
MAR00010,1-acylglycerol acylhydrolase,1-acylglycerol-VLDL pool[c] + H2O[c] => fatty acid-VLDL pool[c] + glycerol[c],3.1.1.23,Abhd12 or Abhd6 or Mgll,,,,,,Pool reactions,,,,0
MAR00013,,HDL[e] => 20 cholesterol[e] + 160 cholesterol-ester pool[e] + HDL remnant[e],3.1.1.34,Lpl,,,,,,Pool reactions,,,,0
MAR00014,,LDL[e] => 680 cholesterol[e] + 1515 cholesterol-ester pool[e] + LDL remnant[e],3.1.1.34,Lpl,,,,,,Pool reactions,,,,0
MAR00018,,cholesterol[c] <=> cholesterol[e],,Npc1l1,,,,,,Transport reactions,,,,0
