id	subsystem	name	keggId	confidenceEcoIDA	confidenceScore	sboTerm	references	ECNumber	notes
13DAMPPOX	beta-Alanine metabolism	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)		3A0000212	1.0	176.0	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.6	SAB
24_25VITD2Hm	Vitamin D metabolism	24R-Vitamin D-25-hydroxylase (D2)		3A0000000	4.0	176.0	PMID:15358094,PMID:8266831		based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT
24_25VITD3Hm	Vitamin D metabolism	24R-Vitamin D-25-hydroxylase (D3)		3A0000269	4.0	176.0	PMID:15358094,PMID:8266831		based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT; RE2240M
25HVITD3tin	Transport, extracellular	25-hydroxyvitamin D3 transport in cytoplasm		3A0000000	2.0	185.0			is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT
25VITD2Hm	Vitamin D metabolism	1-alpha-Vitamin D-25-hydroxylase (D2)		3A0000269	4.0	176.0	PMID:14671156,PMID:9333115		based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT
25VITD3Hm	Vitamin D metabolism	1-alpha-Vitamin D-25-hydroxylase (D3)		3A0000269	4.0	176.0	PMID:14671156,PMID:9333115		based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT
2AMACHYD	Glycine, serine, alanine and threonine metabolism	2-Aminoacrylate hydrolysis		3A0000000	4.0	176.0	PMID:500639		SAB  see PMID 500639:  this reaction is spontaneous
2AMACSULT	Methionine and cysteine metabolism	2-Aminoacrylate sulfotransferase		3A0000000	2.0	176.0	PMID:3346220,PMID:6351723		-this is a lumped rxn w/ an inferred reduction rxn that occurs in conjunction w/ sulfotransferase step; this reduction step has to occur in order for the transformation (2amac--&gt;Lcyst) to be valid -used NADPH as electron donor since it is a common cofactor involved in biosynthetic steps utilizing oxygen (see Neema for further explanations)  MM
2AMADPTm	Lysine metabolism	L-2-aminoadipate shuttle (cytosol/mitochondria)		3A0000269	4.0	185.0	PMID:11083877		SAB PMID 11083877
2HBO	Propanoate metabolism	2-Hydroxybutyrate:NAD+ oxidoreductase		3A0000269	4.0	176.0	PMID:10108,PMID:21765	1.1.1.27	NCD
2HBt2	Transport, extracellular	2-hydroxybutyrate cotransport with proton		3A0000269	4.0	185.0	PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713		NCD
2HCO3_NAt	Transport, extracellular	bicarbonate transport (Na/HCO3 1:2 cotransport)		3A0000269	4.0	185.0	PMID:14722772		MM
2OXOADOXm	Lysine metabolism	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)		3A0000304	2.0	176.0		2.3.1.61	SAB
2OXOADPTm	Tryptophan metabolism	2-oxoadipate shuttle (cytosol/mitochondria)		3A0000269	4.0	185.0	PMID:11083877		SAB PMID 11083877
34DHOXPEGOX	Tyrosine metabolism	3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase		3A0000269	4.0	176.0	PMID:3466164	1.1.1.1	SAB
34DHPHAMT	Tyrosine metabolism	3,4-Dihydroxyphenylacetate:amet O-methyltransferase		3A0000212	1.0	176.0	PMID:1847521	2.1.1.6	SAB
34DHPHEt	Transport, extracellular	3,4-Dihydroxy-L-phenylalanine transport		3A0000269	4.0	185.0	PMID:11827462		NCD
34DHPLACOX	Tyrosine metabolism	3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase		3A0000269	4.0	176.0	PMID:11306106,PMID:2071588	1.2.1.5	SAB
34DHPLACOX_NADP_	Tyrosine metabolism	3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase		3A0000269	4.0	176.0	PMID:11306106,PMID:2071588	1.2.1.5	SAB
34DHXMANDACOX	Tyrosine metabolism	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase		3A0000269	4.0	176.0	PMID:10424772,PMID:12616643	1.2.1.5	SAB
34DHXMANDACOX_NADP_	Tyrosine metabolism	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase		3A0000269	4.0	176.0	PMID:10424772,PMID:12616643	1.2.1.5	SAB
34HPPOR	Tyrosine metabolism	4-Hydroxyphenylpyruvate:oxygen oxidoreductase		3A0000269	4.0	176.0		1.13.11.27	
3AIBTm	Valine, leucine, and isoleucine metabolism	L-3-aminoisobutyrate transaminase, mitochondrial		3A0000304	2.0	176.0		2.6.19.4	NCD
3AIBtm	Transport, mitochondrial	3-amino-isobutyrate transport, mitochondrial		3A0000000	2.0	185.0			
3DSPHR	Sphingolipid metabolism	3-Dehydrosphinganine reductase		3A0000269	4.0	176.0		1.1.1.102	
3HAO	Tryptophan metabolism	3-hydroxyanthranilate 3,4-dioxygenase		3A0000269	4.0	176.0	PMID:7514594	1.13.11.6	NCD
3HBCDm	Butanoate metabolism	3-hydroxybutyryl-CoA dehydratase, mitochondrial		3A0000254	2.0	176.0	PMID:9073515	4.2.1.55	NCD. rat gene that is homologous to the human gene encodes for this activity
3HKYNAKGAT	Tryptophan metabolism	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase		3A0000304	2.0	176.0	PMID:13357462	2.6.1.7	SAB
3HLYTCL	Tyrosine metabolism	3-Hydroxy-L-tyrosine carboxy-lyase		3A0000269	4.0	176.0		4.1.1.28	SAB
3HPCOAHYD	beta-Alanine metabolism	3-hydroxyisobutyryl-Coenzyme A hydrolase		3A0000269	4.0	176.0	PMID:8824301	3.1.2.4	SAB
3HXKYNDCL	Tryptophan metabolism	3-Hydroxykynurenamine decarboxy-lyase		3A0000000	1.0	176.0			SAB made up name
3HXKYNOXDA	Tryptophan metabolism	3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000000	1.0	176.0	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.4	SAB
3M4HDXPAC	Tyrosine metabolism	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase		3A0000134	1.0	176.0	PMID:6422947,PMID:9732974	1.2.1.5	SAB
3MOX4HOXPGALDOX	Tyrosine metabolism	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase		3A0000304	2.0	176.0		1.2.1.5	SAB
3MOX4HOXPGALDOX_NADP_	Tyrosine metabolism	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase		3A0000304	2.0	176.0		1.2.1.5	SAB
3MOXTYROX	Tyrosine metabolism	3-Methoxytyramine:oxygen oxidoreductase (deaminating)		3A0000269	4.0	176.0	PMID:10867119	1.4.3.4	SAB
3SALAASPm	Transport, mitochondrial	cysteinesulfinate-aspartate mitochondrial shuttle		3A0000304	2.0	185.0	PMID:14598172		PMID:486467  MM
3SALACBOXL	Taurine and hypotaurine metabolism	3-Sulfino-L-alanine carboxy-lyase		3A0000269	4.0	176.0		4.1.1.15	SAB
3SALATAi	Methionine and cysteine metabolism	3-sulfino-alanine transaminase (irreversible)		3A0000304	2.0	176.0	PMID:3346220	2.6.1.1	MM. activity measured in rat, 3-sulfinoalanine is substrate found in human brain
3SALATAim	Methionine and cysteine metabolism	3-sulfino-alanine transaminase (irreversible), mitochondrial		3A0000304	2.0	176.0	PMID:3346220	2.6.1.1	MM. activity measured in rat, 3-sulfinoalanine is substrate found in human brain
41R1H2MAE12BOOX	Tyrosine metabolism	4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000269	4.0	176.0	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.4	SAB
41R2A1H12BOOX	Tyrosine metabolism	4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000269	4.0	176.0	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.4	SAB
42A12BOOX	Tyrosine metabolism	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000269	4.0	176.0	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.6	SAB
4HGLSDm	Arginine and Proline Metabolism	L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial		3A0000212	1.0	176.0	PMID:15849464	1.5.1.12	NCD
4HOXPACDOX_NADP_	Tyrosine metabolism	4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase		3A0000304	2.0	176.0	PMID:3753983	1.2.1.5	SAB
4NPHSULT	Cytochrome metabolism	4-Nitrophenol Sulfotransferase		3A0000269	4.0	176.0	PMID:11535246,PMID:15293241	2.8.2.1	RS/TV (6/14/05)
5ADTSTSTERONEGLCte	Transport, extracellular	glucuronidated compound transport		3A0000304	2.0	185.0			presumed MDR transporter NJ. Physiological
5ADTSTSTERONESULT	Steroid metabolism	5alpha-Dihydrotestosterone sulfotransferase		3A0000269	4.0	176.0	PMID:1588921,PMID:16399349	2.8.2.2	NJ
5FTHFt2	Transport, extracellular	5-formyltetrahydrofolate transport via anion exchange		3A0000269	4.0	185.0	PMID:11375437,PMID:14770311		IT
5HLTDL	Tryptophan metabolism	5-Hydroxy-L-tryptophan decarboxy-lyase		3A0000269	4.0	176.0	PMID:1540578	4.1.1.28	SAB
5HOXINDACTO2OX	Tryptophan metabolism	5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase		3A0000304	2.0	176.0	PMID:11306106	1.2.3.1	SAB questionable--balanced, but h2o2 production is based on an obscure comment in entrez
5HOXINDACTOXm	Tryptophan metabolism	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito)		3A0000304	2.0	176.0	PMID:11306106	1.5.1.12	SAB
5HOXINOXDA	Tryptophan metabolism	5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)		3A0000269	4.0	176.0	PMID:11134050,PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.4	SAB
5HTRPDOX	Tryptophan metabolism	5-Hydroxy-L-tryptophan:oxygen 2,3-dioxygenase (indole-decyclizing)		3A0000134	1.0	176.0	PMID:10564724	1.13.11.52	SAB. The E.C. number 1.13.11.42 has been deleted in 2006. Instead, replaced with E.C. 1.13.11.11 - tryptophan 2,3-dioxygenase. However, E.C. 1.13.11.11 is for the reaction L-tryptophan + O2 = N-formyl-L-kynurenine. For the reaction 5-Hydroxy-L-tryptophan (Cytosol) + O2 (Cytosol) &lt;=&gt; 5-Hydroxy-N-formylkynurenine, E.C. should be 1.13.11.52. Conclusion: Change E.C. to 1.13.11.52 (source: KEGG).
