rxn_code_nodirection,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence,num_genes_associated_with_rxn
`,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",beta-Alanine metabolism,13,1.4.3.6,AOC1; AOC2; AOC3,"1.00 * trimethylenediaminium [c] + 1.00 * Water [c] + 1.00 * O2 [c] --> 1.00 * beta-Aminopropion aldehyde [c] + 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c]
AOC1; AOC2; AOC3",1.0,3
24_25VITD2Hm,24R-Vitamin D-25-hydroxylase (D2),Vitamin D metabolism,24,,CYP24A1,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * 25-Hydroxyvitamin D2 [m] --> 1.00 * 24R,25-Dihyoxyvitamin D2 [m] + 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m]
CYP24A1",4.0,1
24_25VITD3Hm,24R-Vitamin D-25-hydroxylase (D3),Vitamin D metabolism,25,,CYP24A1,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * calcidiol [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * (24R)-24,25-dihydroxycalciol [m]
CYP24A1",4.0,1
25HVITD3tin,25-hydroxyvitamin D3 transport in cytoplasm,"Transport, extracellular",32,,CUBN; GC; LRP2,"1.00 * calcidiol [e] --> 1.00 * calcidiol [c]
CUBN; GC; LRP2",2.0,3
25VITD2Hm,1-alpha-Vitamin D-25-hydroxylase (D2),Vitamin D metabolism,35,,CYP27B1,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * 25-Hydroxyvitamin D2 [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * 1-alpha,25-Dihydroxyvitamin D2 [m]
CYP27B1",4.0,1
25VITD3Hm,1-alpha-Vitamin D-25-hydroxylase (D3),Vitamin D metabolism,36,,CYP27B1,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * calcidiol [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * calcitriol [m]
CYP27B1",4.0,1
2AMACHYD,2-Aminoacrylate hydrolysis,"Glycine, serine, alanine and threonine metabolism",37,,SDS,"1.00 * Water [c] + 1.00 * 2-aminoacrylic acid [c] --> 1.00 * Ammonium [c] + 1.00 * pyruvate [c]
SDS",4.0,1
2AMACSULT,2-Aminoacrylate sulfotransferase,Methionine and cysteine metabolism,38,,SULT1A1,"1.00 * 2-aminoacrylic acid [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] --> 1.00 * L-cysteate(1-) [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c]
SULT1A1",2.0,1
2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria),Lysine metabolism,39,,SLC25A21,"1.00 * L-2-aminoadipate(1-) [c] + 1.00 * 2-Oxoglutarate [m] --> 1.00 * L-2-aminoadipate(1-) [m] + 1.00 * 2-Oxoglutarate [c]
SLC25A21",4.0,1
2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,Propanoate metabolism,41,1.1.1.27,LDHA; LDHAL6B; LDHB; LDHC; UEVLD,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",4.0,5
