id	subsystem	name	keggId	confidenceEcoIDA	confidenceScore	sboTerm	references	ECNumber	notes
10FTHF5GLUtl	Transport, lysosomal	5-glutamyl-10FTHF transport, lysosomal		3A0000000	2	185	PMID:11375437		carrier-mediated transport - but which and how is unknown IT
10FTHF5GLUtm	Transport, mitochondrial	5-glutamyl-10FTHF transport, mitochondrial		3A0000000	2	185	PMID:11375437		mechanism is unknown IT
10FTHF6GLUtl	Transport, lysosomal	6-glutamyl-10FTHF transport, lysosomal		3A0000000	2	185	PMID:11375437		carrier-mediated transport - but which and how is unknown IT
10FTHF6GLUtm	Transport, mitochondrial	6-glutamyl-10FTHF transport, mitochondrial		3A0000000	2	185	PMID:11375437		mechanism is unknown IT
10FTHF7GLUtl	Transport, lysosomal	7-glutamyl-10FTHF transport, lysosomal		3A0000000	2	185	PMID:11375437		carrier-mediated transport - but which and how is unknown IT
10FTHF7GLUtm	Transport, mitochondrial	7-glutamyl-10FTHF transport, mitochondrial		3A0000000	2	185	PMID:11375437		mechanism is unknown IT
10FTHFtl	Transport, lysosomal	10-Formyltetrahydrofolate lysosomal transport via diffusion		3A0000000	2	185	PMID:11375437		NCD, IT
10FTHFtm	Transport, mitochondrial	10-Formyltetrahydrofolate mitochondrial transport via diffusion		3A0000000	2	185	PMID:11375437		NCD
11DOCRTSLtm	Transport, mitochondrial	11-deoxycortisol intracellular transport		3A0000000	1	185			unknown mechanism NJ
11DOCRTSLtr	Transport, endoplasmic reticular	11-deoxycortisol intracellular transport		3A0000000	1	185			unknown mechanism NJ
11DOCRTSTRNtm	Transport, mitochondrial	11-deoxycorticosterone intracellular transport		3A0000000	1	185			unknown mechanism NJ
11DOCRTSTRNtr	Transport, endoplasmic reticular	11-deoxycorticosterone intracellular transport		3A0000000	1	185			unknown mechanism NJ
13DAMPPOX	beta-Alanine metabolism	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)		3A0000212	1	176	PMID:15035803,PMID:8920635,PMID:9653080	1.4.3.6	SAB
1a_24_25VITD2Hm	Vitamin D metabolism	1-alpha-Vitamin D-24,25-hydroxylase (D2)		3A0000134	2	176	PMID:6974773		
1a_24_25VITD3Hm	Vitamin D metabolism	1-alpha-Vitamin D-24,25-hydroxylase (D3)		3A0000134	2	176	PMID:15574355		
1a_25VITD2Hm	Vitamin D metabolism	1-alpha,24R,25-Vitamin D-hydroxylase (D2)		3A0000134	4	176	PMID:6974773		
1a_25VITD3Hm	Vitamin D metabolism	1-alpha,24R,25-Vitamin D-hydroxylase (D3)		3A0000134	4	176	PMID:15574355		
1MNCAMti	Transport, extracellular	N1-Methylnicotinamide transport		3A0000000	2	185			IT based on information in Bender, 2003, 2nd Ed., Nutritional Biochemistry of the Vitamins, p. 206
1PPDCRp	Lysine metabolism	delta1-piperideine-2-carboxylate reductase, perixosomal		3A0000000	2	176	PMID:10485319,PMID:10772957		MM
24_25DHVITD2t	Transport, extracellular	24,25-Dihydroxyvitamin D2 transport from cytoplasm		3A0000000	2	185			
24_25DHVITD2tm	Transport, mitochondrial	24,25-Dihydroxyvitamin D2 transport from mitochondria		3A0000000	2	185			
24_25DHVITD3t	Transport, extracellular	24,25-Dihydroxyvitamin D3 transport from cytoplasm		3A0000000	2	185			
24_25DHVITD3tm	Transport, mitochondrial	24,25-Dihydroxyvitamin D3 transport from mitochondria		3A0000000	2	185			
24_25VITD2Hm	Vitamin D metabolism	24R-Vitamin D-25-hydroxylase (D2)		3A0000000	4	176	PMID:15358094,PMID:8266831		based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT
24_25VITD3Hm	Vitamin D metabolism	24R-Vitamin D-25-hydroxylase (D3)		3A0000269	4	176	PMID:15358094,PMID:8266831		based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT; RE2240M
24NPHte	Transport, extracellular	xenobiotic transport		3A0000000	2	185			unknown mechanism, related cyp P450 metabolism reactions NJ. Steriods transported by free diffusion
