id	name	subsystem	formula	ecnumber	keggId	keggorthology	cog	seed	metanetx
10FTHF5GLUtl	5-Glutamyl-10Fthf Transport, Lysosomal	10fthf5glu[c] -> 10fthf5glu[l] 	Transport, lysosomal						MNXR94668
10FTHF5GLUtm	5-Glutamyl-10Fthf Transport, Mitochondrial	10fthf5glu[m] -> 10fthf5glu[c] 	Transport, mitochondrial						MNXR94668
10FTHF6GLUtl	6-Glutamyl-10Fthf Transport, Lysosomal	10fthf6glu[c] -> 10fthf6glu[l] 	Transport, lysosomal						MNXR94669
10FTHF6GLUtm	6-Glutamyl-10Fthf Transport, Mitochondrial	10fthf6glu[m] -> 10fthf6glu[c] 	Transport, mitochondrial						MNXR94669
10FTHF7GLUtl	7-Glutamyl-10Fthf Transport, Lysosomal	10fthf7glu[c] -> 10fthf7glu[l] 	Transport, lysosomal						MNXR94670
10FTHF7GLUtm	7-Glutamyl-10Fthf Transport, Mitochondrial	10fthf7glu[m] -> 10fthf7glu[c] 	Transport, mitochondrial						MNXR94670
10FTHFtl	10-Formyltetrahydrofolate Lysosomal Transport via Diffusion	10fthf[c] <=> 10fthf[l] 	Transport, lysosomal						MNXR94672
10FTHFtm	10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion	10fthf[c] <=> 10fthf[m] 	Transport, mitochondrial						MNXR94672
11DOCRTSLtm	11-Deoxycortisol Intracellular Transport	11docrtsl[c] <=> 11docrtsl[m] 	Transport, mitochondrial						MNXR94673
11DOCRTSLtr	11-Deoxycortisol Intracellular Transport	11docrtsl[c] <=> 11docrtsl[r] 	Transport, endoplasmic reticular						MNXR94673
11DOCRTSTRNtm	11-Deoxycorticosterone Intracellular Transport	11docrtstrn[c] <=> 11docrtstrn[m] 	Transport, mitochondrial						MNXR94674
11DOCRTSTRNtr	11-Deoxycorticosterone Intracellular Transport	11docrtstrn[c] <=> 11docrtstrn[r] 	Transport, endoplasmic reticular						MNXR94674
13DAMPPOX	1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)	13dampp[c] + h2o[c] + o2[c] -> bamppald[c] + h2o2[c] + nh4[c] 	Beta-Alanine metabolism					rxn02250	MNXR94687
1a_24_25VITD2Hm	1-Alpha-Vitamin D-24, 25-Hydroxylase (D2)	2425dhvitd2[m] + h[m] + nadph[m] + o2[m] -> 1a2425thvitd2[m] + h2o[m] + nadp[m] 	Vitamin D metabolism						MNXR94714
1a_24_25VITD3Hm	1-Alpha-Vitamin D-24, 25-Hydroxylase (D3)	2425dhvitd3[m] + h[m] + nadph[m] + o2[m] -> 1a2425thvitd3[m] + h2o[m] + nadp[m] 	Vitamin D metabolism						
1a_25VITD2Hm	1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D2)	1a25dhvitd2[m] + h[m] + nadph[m] + o2[m] -> 1a2425thvitd2[m] + h2o[m] + nadp[m] 	Vitamin D metabolism						MNXR94716
1a_25VITD3Hm	1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D3)	1a25dhvitd3[m] + h[m] + nadph[m] + o2[m] -> 1a2425thvitd3[m] + h2o[m] + nadp[m] 	Vitamin D metabolism						
1MNCAMti	N1-Methylnicotinamide Transport	1mncam[c] + atp[c] + h2o[c] -> 1mncam[e] + adp[c] + h[c] + pi[c] 	Transport, extracellular						MNXR94710
1PPDCRp	Delta1-Piperideine-2-Carboxylate Reductase, Perixosomal	1pipdn2c[x] + h[x] + nadh[x] -> Lpipecol[x] + nad[x] 	Lysine metabolism	1.5.1.1, 1.5.1.21	R02201				MNXR94712
24_25DHVITD2t	24, 25-Dihydroxyvitamin D2 Transport from Cytoplasm	2425dhvitd2[c] -> 2425dhvitd2[e] 	Transport, extracellular						MNXR94733
24_25DHVITD2tm	24, 25-Dihydroxyvitamin D2 Transport from Mitochondria	2425dhvitd2[m] -> 2425dhvitd2[c] 	Transport, mitochondrial						MNXR94733
24_25DHVITD3t	24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm	2425dhvitd3[c] -> 2425dhvitd3[e] 	Transport, extracellular						MNXR94734
24_25DHVITD3tm	24, 25-Dihydroxyvitamin D3 Transport from Mitochondria	2425dhvitd3[m] -> 2425dhvitd3[c] 	Transport, mitochondrial						MNXR94734
24_25VITD2Hm	24R-Vitamin D-25-Hydroxylase (D2)	25hvitd2[m] + h[m] + nadph[m] + o2[m] -> 2425dhvitd2[m] + h2o[m] + nadp[m] 	Vitamin D metabolism						MNXR94735
24_25VITD3Hm	24R-Vitamin D-25-Hydroxylase (D3)	25hvitd3[m] + h[m] + nadph[m] + o2[m] -> 2425dhvitd3[m] + h2o[m] + nadp[m] 	Vitamin D metabolism	1.14.13.126					MNXR94736
24NPHte	Transport of Xenobiotic	24nph[e] <=> 24nph[c] 	Transport, extracellular						MNXR94732
25HVITD2t	25-Hydroxyvitamin D2 Transport from Cytoplasm	25hvitd2[c] -> 25hvitd2[e] 	Transport, extracellular						MNXR94737
25HVITD2tin	25-Hydroxyvitamin D2 Transport in Cytoplasm	25hvitd2[e] -> 25hvitd2[c] 	Transport, extracellular						
25HVITD2tin_m	25-Hydroxyvitamin D2 Transport in Mitochondria	25hvitd2[c] -> 25hvitd2[m] 	Transport, mitochondrial						MNXR94737
25HVITD2tm	25-Hydroxyvitamin D2 Transport from Mitochondria	25hvitd2[m] -> 25hvitd2[c] 	Transport, mitochondrial						
25HVITD3t	25-Hydroxyvitamin D3 Transport from Cytoplasm	25hvitd3[c] -> 25hvitd3[e] 	Transport, extracellular						MNXR94739
25HVITD3tin_m	25-Hydroxyvitamin D3 Transport in Mitochondria	25hvitd3[c] -> 25hvitd3[m] 	Transport, mitochondrial						MNXR94739
25HVITD3tm	25-Hydroxyvitamin D3 Transport from Mitochondria	25hvitd3[m] -> 25hvitd3[c] 	Transport, mitochondrial						
25VITD2Hm	1-Alpha-Vitamin D-25-Hydroxylase (D2)	25hvitd2[m] + h[m] + nadph[m] + o2[m] -> 1a25dhvitd2[m] + h2o[m] + nadp[m] 	Vitamin D metabolism						MNXR94740
25VITD3Hm	1-Alpha-Vitamin D-25-Hydroxylase (D3)	25hvitd3[m] + h[m] + nadph[m] + o2[m] -> 1a25dhvitd3[m] + h2o[m] + nadp[m] 	Vitamin D metabolism						MNXR94738
2AMACHYD	2-Aminoacrylate Hydrolysis	2amac[c] + h2o[c] -> nh4[c] + pyr[c] 	Glycine, serine, alanine, and threonine metabolism	4.3.1.17	R08698				MNXR94778
2AMACSULT	2-Aminoacrylate Sulfotransferase	2amac[c] + nadph[c] + paps[c] -> Lcyst[c] + nadp[c] + pap[c] 	Methionine and cysteine metabolism						MNXR94779
2AMADPTm	L-2-Aminoadipate Shuttle (Cytosol/Mitochondria)	akg[m] + L2aadp[c] -> akg[c] + L2aadp[m] 	Lysine metabolism						MNXR94780
2DR1PP	2-Deoxy-D-Ribose 1-Phosphate Phosphorylase	2dr1p[c] + h2o[c] -> drib[c] + pi[c] 	Pyrimidine catabolism						MNXR94795
2HBO	2-Hydroxybutyrate:NAD+ Oxidoreductase	2hb[c] + nad[c] <=> 2obut[c] + h[c] + nadh[c] 	Propanoate metabolism	1.1.1.27	R01000			rxn00741	MNXR94796
2HBt2	2-Hydroxybutyrate Symport with Proton	2hb[e] + h[e] <=> 2hb[c] + h[c] 	Transport, extracellular						MNXR94797
2HCO3_NAt	Bicarbonate Transport (Na/Hco3 1:2 Symport)	2.0 hco3[e] + na1[e] <=> 2.0 hco3[c] + na1[c] 	Transport, extracellular						MNXR94798
2MCITt	2-Methylcitrate Transport via Diffusion	2mcit[c] <=> 2mcit[e] 	Transport, extracellular						MNXR94811
2OXOADOXm	2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial	2oxoadp[m] + coa[m] + nad[m] -> co2[m] + glutcoa[m] + nadh[m] 	Lysine metabolism	1.2.1.52, 1.2.4.2, 1.8.1.4, 2.3.1.61	R01933				MNXR94818
2OXOADPTm	2-Oxoadipate Shuttle (Cytosol/Mitochondria)	2oxoadp[c] + akg[m] <=> 2oxoadp[m] + akg[c] 	Tryptophan metabolism						MNXR94819
34DHOXPEGOX	3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase	34dhmald[c] + h[c] + nadh[c] <=> 34dhoxpeg[c] + nad[c] 	Tyrosine metabolism	1.1.1.1	R04880			rxn03333	MNXR94833
34DHOXPEGt	3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)	34dhoxpeg[c] <=> 34dhoxpeg[e] 	Transport, extracellular						MNXR94834
34DHPHAMT	3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase	34dhpha[c] + amet[c] -> ahcys[c] + h[c] + homoval[c] 	Tyrosine metabolism	2.1.1.6					MNXR94836
34DHPHEt	3, 4-Dihydroxy-L-Phenylalanine Transport	34dhphe[e] <=> 34dhphe[c] 	Transport, extracellular						MNXR94838
34DHPLACOX	3, 4-Dihydroxyphenylacetaldehyde:NAD+ Oxidoreductase	34dhpac[c] + h2o[c] + nad[c] -> 34dhpha[c] + 2.0 h[c] + nadh[c] 	Tyrosine metabolism	1.2.1.5					
34DHPLACOX_NADP_	3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase	34dhpac[c] + h2o[c] + nadp[c] <=> 34dhpha[c] + 2.0 h[c] + nadph[c] 	Tyrosine metabolism	1.2.1.5					
34DHXMANDACOX	3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase	34dhmald[c] + h2o[c] + nad[c] -> 34dhoxmand[c] + 2.0 h[c] + nadh[c] 	Tyrosine metabolism	1.2.1.5					MNXR94840
34DHXMANDACOX_NADP_	3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase	34dhmald[c] + h2o[c] + nadp[c] <=> 34dhoxmand[c] + 2.0 h[c] + nadph[c] 	Tyrosine metabolism	1.2.1.5					
34HPLFM	3- (4-Hydroxyphenyl-)Lactate Formation	34hpp[m] + h[m] + nadh[m] -> 34hpl[m] + nad[m] 	Ubiquinone synthesis	1.1.1.222, 1.1.1.237	R03336				MNXR94842
34HPPOR	4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase	34hpp[c] + o2[c] -> co2[c] + hgentis[c] 	Tyrosine metabolism	1.13.11.27	R02521	K00457	COG3185	rxn01827	MNXR94843
