met,metName,degree,keggID,hmdbID,stringsAsFactors,compartment,met_no_compartment,met_Rid
h[c],proton,1210,C00282,HMDB01362,FALSE,[c],h,h.c.
h2o[c],Water,868,C00001,HMDB02111,FALSE,[c],h2o,h2o.c.
na1[c],Sodium,483,C01330,HMDB00588,FALSE,[c],na1,na1.c.
na1[e],Sodium,479,C01330,HMDB00588,FALSE,[e],na1,na1.e.
h[m],proton,448,C00282,HMDB01362,FALSE,[m],h,h.m.
atp[c],ATP,380,C00002,HMDB00538,FALSE,[c],atp,atp.c.
h[r],proton,291,C00282,HMDB01362,FALSE,[r],h,h.r.
pi[c],hydrogenphosphate,288,C00009,HMDB00973,FALSE,[c],pi,pi.c.
h2o[m],Water,284,C00001,HMDB02111,FALSE,[m],h2o,h2o.m.
adp[c],ADP,278,C00008,HMDB01341,FALSE,[c],adp,adp.c.
nadp[c],Nicotinamide adenine dinucleotide phosphate,269,C00006,HMDB00217,FALSE,[c],nadp,nadp.c.
nadph[c],Nicotinamide adenine dinucleotide phosphate - reduced,267,C00005,HMDB00221,FALSE,[c],nadph,nadph.c.
coa[c],Coenzyme A,266,C00010,HMDB01423,FALSE,[c],coa,coa.c.
o2[c],O2,243,C00007,HMDB01377,FALSE,[c],o2,o2.c.
hco3[c],Bicarbonate,243,C00288,HMDB00595,FALSE,[c],hco3,hco3.c.
h[g],proton,243,C00282,HMDB01362,FALSE,[g],h,h.g.
hco3[e],Bicarbonate,241,C00288,HMDB00595,FALSE,[e],hco3,hco3.e.
coa[m],Coenzyme A,225,C00010,HMDB01423,FALSE,[m],coa,coa.m.
h2o[l],Water,219,C00001,HMDB02111,FALSE,[l],h2o,h2o.l.
h2o[r],Water,198,C00001,HMDB02111,FALSE,[r],h2o,h2o.r.
nad[m],Nicotinamide adenine dinucleotide,177,C00003,HMDB00902,FALSE,[m],nad,nad.m.
nadh[m],Nicotinamide adenine dinucleotide - reduced,175,C00004,HMDB01487,FALSE,[m],nadh,nadh.m.
h[x],proton,167,C00282,HMDB01362,FALSE,[x],h,h.x.
h2o[x],Water,165,C00001,HMDB02111,FALSE,[x],h2o,h2o.x.
ppi[c],Diphosphate,157,C00013,HMDB00250,FALSE,[c],ppi,ppi.c.
nad[c],Nicotinamide adenine dinucleotide,155,C00003,HMDB00902,FALSE,[c],nad,nad.c.
nadh[c],Nicotinamide adenine dinucleotide - reduced,150,C00004,HMDB01487,FALSE,[c],nadh,nadh.c.
nadph[r],Nicotinamide adenine dinucleotide phosphate - reduced,147,C00005,HMDB00221,FALSE,[r],nadph,nadph.r.
nadp[r],Nicotinamide adenine dinucleotide phosphate,147,C00006,HMDB00217,FALSE,[r],nadp,nadp.r.
coa[x],Coenzyme A,146,C00010,HMDB01423,FALSE,[x],coa,coa.x.
amp[c],AMP,129,C00020,HMDB00045,FALSE,[c],amp,amp.c.
fad[m],Flavin adenine dinucleotide oxidized,128,C00016,HMDB01248,FALSE,[m],fad,fad.m.
fadh2[m],Flavin adenine dinucleotide reduced,127,C01352,HMDB01197,FALSE,[m],fadh2,fadh2.m.
accoa[m],Acetyl-CoA,124,C00024,HMDB01206,FALSE,[m],accoa,accoa.m.
h[e],proton,122,C00282,HMDB01362,FALSE,[e],h,h.e.
udp[g],UDP,122,C00015,HMDB00295,FALSE,[g],udp,udp.g.
gly[c],Glycine,121,C00037,HMDB00123,FALSE,[c],gly,gly.c.
crn[c],L-Carnitine,119,C15025,HMDB00062,FALSE,[c],crn,crn.c.
h2o[e],Water,116,C00001,HMDB02111,FALSE,[e],h2o,h2o.e.
ala_L[c],L-alanine,114,C00041,HMDB00161,FALSE,[c],ala_L,ala_L.c.
nadph[m],Nicotinamide adenine dinucleotide phosphate - reduced,111,C00005,HMDB00221,FALSE,[m],nadph,nadph.m.
nadp[m],Nicotinamide adenine dinucleotide phosphate,111,C00006,HMDB00217,FALSE,[m],nadp,nadp.m.
gln_L[c],L-glutamine,111,C00064,HMDB00641,FALSE,[c],gln_L,gln_L.c.
ser_L[c],L-serine,111,C00065,HMDB00187,FALSE,[c],ser_L,ser_L.c.
phe_L[c],L-phenylalanine,111,C00079,HMDB00159,FALSE,[c],phe_L,phe_L.c.
o2[x],O2,108,C00007,HMDB01377,FALSE,[x],o2,o2.x.
leu_L[c],L-leucine,108,C00123,HMDB00687,FALSE,[c],leu_L,leu_L.c.
h[l],proton,106,C00282,HMDB01362,FALSE,[l],h,h.l.
cys_L[c],L-cysteine,104,C00097,HMDB00574,FALSE,[c],cys_L,cys_L.c.
o2[r],O2,104,C00007,HMDB01377,FALSE,[r],o2,o2.r.
pro_L[c],L-proline,104,C00148,HMDB00162,FALSE,[c],pro_L,pro_L.c.
met_L[c],L-methionine,102,C00073,HMDB00696,FALSE,[c],met_L,met_L.c.
tyr_L[c],L-tyrosine,101,C00082,HMDB00158,FALSE,[c],tyr_L,tyr_L.c.
nadh[x],Nicotinamide adenine dinucleotide - reduced,100,C00004,HMDB01487,FALSE,[x],nadh,nadh.x.
nad[x],Nicotinamide adenine dinucleotide,99,C00003,HMDB00902,FALSE,[x],nad,nad.x.
asn_L[c],L-asparagine,98,C00152,HMDB00168,FALSE,[c],asn_L,asn_L.c.
thr_L[c],L-threonine,98,C00188,HMDB00167,FALSE,[c],thr_L,thr_L.c.
val_L[c],L-valine,98,C00183,HMDB00883,FALSE,[c],val_L,val_L.c.
co2[c],carbon dioxide,97,C00011,HMDB01967,FALSE,[c],co2,co2.c.
trp_L[c],L-tryptophan,97,C00078,HMDB00929,FALSE,[c],trp_L,trp_L.c.
h2o2[x],Hydrogen peroxide,96,C00027,HMDB03125,FALSE,[x],h2o2,h2o2.x.
ile_L[c],L-isoleucine,96,C00407,HMDB00172,FALSE,[c],ile_L,ile_L.c.
glu_L[c],L-glutamate(1-),95,C00025,HMDB00148,FALSE,[c],glu_L,glu_L.c.
arg_L[c],L-argininium(1+),95,C00062,HMDB00517,FALSE,[c],arg_L,arg_L.c.
gthrd[c],Reduced glutathione,94,C00051,HMDB00125,FALSE,[c],gthrd,gthrd.c.
his_L[c],L-histidine,92,C00135,HMDB00177,FALSE,[c],his_L,his_L.c.
lys_L[c],L-lysinium(1+),91,C00047,HMDB00182,FALSE,[c],lys_L,lys_L.c.
atp[m],ATP,87,C00002,HMDB00538,FALSE,[m],atp,atp.m.
accoa[x],Acetyl-CoA,82,C00024,HMDB01206,FALSE,[x],accoa,accoa.x.
so4[l],sulfate,75,C00059,HMDB01448,FALSE,[l],so4,so4.l.
adp[m],ADP,71,C00008,HMDB01341,FALSE,[m],adp,adp.m.
leu_L[e],L-leucine,69,C00123,HMDB00687,FALSE,[e],leu_L,leu_L.e.
phe_L[e],L-phenylalanine,69,C00079,HMDB00159,FALSE,[e],phe_L,phe_L.e.
nh4[c],Ammonium,68,C00014,HMDB00051,FALSE,[c],nh4,nh4.c.
h2o2[c],Hydrogen peroxide,66,C00027,HMDB03125,FALSE,[c],h2o2,h2o2.c.
gly[e],Glycine,65,C00037,HMDB00123,FALSE,[e],gly,gly.e.
o2[m],O2,64,C00007,HMDB01377,FALSE,[m],o2,o2.m.
ala_L[e],L-alanine,63,C00041,HMDB00161,FALSE,[e],ala_L,ala_L.e.
gln_L[e],L-glutamine,63,C00064,HMDB00641,FALSE,[e],gln_L,gln_L.e.
ile_L[e],L-isoleucine,63,C00407,HMDB00172,FALSE,[e],ile_L,ile_L.e.
cys_L[e],L-cysteine,62,C00097,HMDB00574,FALSE,[e],cys_L,cys_L.e.
ser_L[e],L-serine,62,C00065,HMDB00187,FALSE,[e],ser_L,ser_L.e.
