rxn_code_nodirection,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence
10FTHF5GLUtl,"5-glutamyl-10FTHF transport, lysosomal","Transport, lysosomal",1,N/A,,"1.00 * 10-formyltetrahydrofolate-[Glu](5) [c] --> 1.00 * 10-formyltetrahydrofolate-[Glu](5) [l]
No genes",2
10FTHF5GLUtm,"5-glutamyl-10FTHF transport, mitochondrial","Transport, mitochondrial",2,N/A,,"1.00 * 10-formyltetrahydrofolate-[Glu](5) [m] --> 1.00 * 10-formyltetrahydrofolate-[Glu](5) [c]
No genes",2
10FTHF6GLUtl,"6-glutamyl-10FTHF transport, lysosomal","Transport, lysosomal",3,N/A,,"1.00 * 10-formyltetrahydrofolate-[Glu](6) [c] --> 1.00 * 10-formyltetrahydrofolate-[Glu](6) [l]
No genes",2
10FTHF6GLUtm,"6-glutamyl-10FTHF transport, mitochondrial","Transport, mitochondrial",4,N/A,,"1.00 * 10-formyltetrahydrofolate-[Glu](6) [m] --> 1.00 * 10-formyltetrahydrofolate-[Glu](6) [c]
No genes",2
10FTHF7GLUtl,"7-glutamyl-10FTHF transport, lysosomal","Transport, lysosomal",5,N/A,,"1.00 * 10-formyltetrahydrofolate-[Glu](7) [c] --> 1.00 * 10-formyltetrahydrofolate-[Glu](7) [l]
No genes",2
10FTHF7GLUtm,"7-glutamyl-10FTHF transport, mitochondrial","Transport, mitochondrial",6,N/A,,"1.00 * 10-formyltetrahydrofolate-[Glu](7) [m] --> 1.00 * 10-formyltetrahydrofolate-[Glu](7) [c]
No genes",2
10FTHFtl,10-Formyltetrahydrofolate lysosomal transport via diffusion,"Transport, lysosomal",7,N/A,,"1.00 * 10-Formyltetrahydrofolate [c] --> 1.00 * 10-Formyltetrahydrofolate [l]
No genes",2
10FTHFtm,10-Formyltetrahydrofolate mitochondrial transport via diffusion,"Transport, mitochondrial",8,N/A,,"1.00 * 10-Formyltetrahydrofolate [c] --> 1.00 * 10-Formyltetrahydrofolate [m]
No genes",2
11DOCRTSLtm,11-deoxycortisol intracellular transport,"Transport, mitochondrial",9,N/A,,"1.00 * 11-deoxycortisol [c] --> 1.00 * 11-deoxycortisol [m]
No genes",1
11DOCRTSLtr,11-deoxycortisol intracellular transport,"Transport, endoplasmic reticular",10,N/A,,"1.00 * 11-deoxycortisol [c] --> 1.00 * 11-deoxycortisol [r]
No genes",1
