id	name	formula	charge	chebiId	keggID	pubChemID	inchiString	hepatoNetID	ehmnId	hmdbId
10fthf5glu[c]	10-formyltetrahydrofolate-[Glu](5)	C40H45N11O19	-6							
10fthf5glu[l]	10-formyltetrahydrofolate-[Glu](5)	C40H45N11O19	-6							
10fthf5glu[m]	10-formyltetrahydrofolate-[Glu](5)	C40H45N11O19	-6							
10fthf6glu[c]	10-formyltetrahydrofolate-[Glu](6)	C45H51N12O22	-7				InChI=1/C45H58N12O22/c46-45-55-36-35(38(67)56-45)48-21(17-47-36)18-57(19-58)22-3-1-20(2-4-22)37(66)54-28(44(78)79)9-15-33(63)52-26(42(74)75)7-13-31(61)50-24(40(70)71)5-11-29(59)49-23(39(68)69)6-12-30(60)51-25(41(72)73)8-14-32(62)53-27(43(76)77)10-16-34(64)65/h1-4,19,21,23-28,48H,5-18H2,(H,49,59)(H,50,61)(H,51,60)(H,52,63)(H,53,62)(H,54,66)(H,64,65)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,78,79)(H4,46,47,55,56,67)/p-7/t21?,23?,24?,25?,26?,27?,28-/m1/s1			
10fthf6glu[l]	10-formyltetrahydrofolate-[Glu](6)	C45H51N12O22	-7				InChI=1/C45H58N12O22/c46-45-55-36-35(38(67)56-45)48-21(17-47-36)18-57(19-58)22-3-1-20(2-4-22)37(66)54-28(44(78)79)9-15-33(63)52-26(42(74)75)7-13-31(61)50-24(40(70)71)5-11-29(59)49-23(39(68)69)6-12-30(60)51-25(41(72)73)8-14-32(62)53-27(43(76)77)10-16-34(64)65/h1-4,19,21,23-28,48H,5-18H2,(H,49,59)(H,50,61)(H,51,60)(H,52,63)(H,53,62)(H,54,66)(H,64,65)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,78,79)(H4,46,47,55,56,67)/p-7/t21?,23?,24?,25?,26?,27?,28-/m1/s1			
10fthf6glu[m]	10-formyltetrahydrofolate-[Glu](6)	C45H51N12O22	-7				InChI=1/C45H58N12O22/c46-45-55-36-35(38(67)56-45)48-21(17-47-36)18-57(19-58)22-3-1-20(2-4-22)37(66)54-28(44(78)79)9-15-33(63)52-26(42(74)75)7-13-31(61)50-24(40(70)71)5-11-29(59)49-23(39(68)69)6-12-30(60)51-25(41(72)73)8-14-32(62)53-27(43(76)77)10-16-34(64)65/h1-4,19,21,23-28,48H,5-18H2,(H,49,59)(H,50,61)(H,51,60)(H,52,63)(H,53,62)(H,54,66)(H,64,65)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,78,79)(H4,46,47,55,56,67)/p-7/t21?,23?,24?,25?,26?,27?,28-/m1/s1			
10fthf7glu[c]	10-formyltetrahydrofolate-[Glu](7)	C50H57N13O25	-8							
10fthf7glu[l]	10-formyltetrahydrofolate-[Glu](7)	C50H57N13O25	-8							
10fthf7glu[m]	10-formyltetrahydrofolate-[Glu](7)	C50H57N13O25	-8							
10fthf[c]	10-Formyltetrahydrofolate	C20H21N7O7	-2	15637	C00234	122347	InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11-,13+/m1/s1	HC00212	C00234	HMDB00972
10fthf[l]	10-Formyltetrahydrofolate	C20H21N7O7	-2	15637	C00234	122347	InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11-,13+/m1/s1	HC00212	C00234	HMDB00972
