cell_id,cell_type,MD_SRX,NREADS,NALIGNED,RALIGN
SRR2921282,Th17p,SRX1435506,637389,396663,62.2325
SRR2921283,Th17p,SRX1435507,1074300,732092,68.1459
SRR2921284,Th17p,SRX1435508,1480810,1085800,73.3252
SRR2921285,Th17p,SRX1435509,1374340,982010,71.4531
SRR2921286,Th17p,SRX1435510,1243850,921003,74.0444
SRR2921287,Th17p,SRX1435511,1511040,1074640,71.1193
SRR2921288,Th17p,SRX1435512,1127910,765763,67.892
SRR2921289,Th17p,SRX1435513,1296320,922293,71.147
SRR2921290,Th17p,SRX1435514,1136510,724265,63.7272
SRR2921291,Th17p,SRX1435515,1322550,892195,67.4603
SRR2921292,Th17p,SRX1435516,1488720,1031070,69.2588
SRR2921293,Th17p,SRX1435517,1631870,1183900,72.5487
SRR2921294,Th17p,SRX1435518,1191080,750670,63.0245
SRR2921295,Th17p,SRX1435519,1771060,1191980,67.3035
SRR2921296,Th17p,SRX1435520,1596230,1107290,69.3692
SRR2921297,Th17p,SRX1435521,1148190,840280,73.1831
SRR2921298,Th17p,SRX1435522,1350830,932760,69.0509
SRR2921299,Th17p,SRX1435523,1204820,869901,72.2015
SRR2921300,Th17p,SRX1435524,805037,537118,66.7197
SRR2921301,Th17p,SRX1435525,917148,555298,60.5462
SRR2921302,Th17p,SRX1435526,752516,518340,68.8809
SRR2921303,Th17p,SRX1435527,1120400,633230,56.518
SRR2921304,Th17p,SRX1435528,899124,583146,64.8571
SRR2921305,Th17p,SRX1435529,1299370,910526,70.0746
SRR2921306,Th17p,SRX1435530,1019230,661572,64.9089
SRR2921307,Th17p,SRX1435531,707706,401128,56.68
SRR2921308,Th17p,SRX1435532,951439,643771,67.6629
SRR2921309,Th17p,SRX1435533,816813,530725,64.9751
SRR2921310,Th17p,SRX1435534,1116410,723430,64.7998
SRR2921311,Th17p,SRX1435535,868618,630438,72.5794
SRR2921312,Th17p,SRX1435536,1242340,875317,70.457
SRR2921313,Th17p,SRX1435537,1045400,764229,73.1039
SRR2921314,Th17p,SRX1435538,1218160,860164,70.612
SRR2921315,Th17p,SRX1435539,1035820,675412,65.2055
SRR2921316,Th17p,SRX1435540,1057100,771690,73.0009
SRR2921317,Th17p,SRX1435541,717082,441623,61.5861
SRR2921318,Th17p,SRX1435542,1104520,638725,57.8282
SRR2921319,Th17p,SRX1435543,1345090,982584,73.0496
SRR2921320,Th17p,SRX1435544,1682290,1177530,69.9959
SRR2921321,Th17p,SRX1435545,1320230,941281,71.2966
SRR2921322,Th17p,SRX1435546,1347840,823289,61.0819
SRR2921323,Th17p,SRX1435547,1427250,950954,66.6282
SRR2921324,Th17p,SRX1435548,1675190,1175480,70.17
SRR2921325,Th17p,SRX1435549,1716800,1168960,68.0891
SRR2921326,Th17p,SRX1435550,1807560,1071900,59.3013
SRR2921327,Th17p,SRX1435551,1931760,1338290,69.2783
SRR2921328,Th17p,SRX1435552,1911150,1317530,68.9394
SRR2921329,Th17p,SRX1435553,2253300,1626500,72.1828
SRR2921330,Th17p,SRX1435554,1905310,1368650,71.8334
SRR2921331,Th17p,SRX1435555,1741170,1084470,62.284
SRR2921332,Th17p,SRX1435556,1746220,1115460,63.8785
SRR2921333,Th17p,SRX1435557,1772230,1220120,68.8467
SRR2921334,Th17p,SRX1435558,2230300,1593580,71.4514
SRR2921335,Th17p,SRX1435559,277910,203038,73.0589
SRR2921336,Th17p,SRX1435560,1879000,1286030,68.4423
SRR2921337,Th17p,SRX1435561,1723060,1256080,72.8983
SRR2921338,Th17p,SRX1435562,2223750,1524060,68.5356
SRR2921339,Th17p,SRX1435563,2217440,1546350,69.7357
SRR2921340,Th17p,SRX1435564,1624290,985249,60.6574
SRR2921341,Th17p,SRX1435565,1088470,636749,58.4995
SRR2921342,Th17p,SRX1435566,1563710,1093740,69.9451
SRR2921343,Th17p,SRX1435567,2254000,1485390,65.9002
SRR2921344,Th17p,SRX1435568,1479640,1086190,73.4092
SRR2921345,Th17p,SRX1435569,1558140,1048300,67.2785
SRR2921346,Th17p,SRX1435570,1137920,720859,63.3486
SRR2921347,Th17p,SRX1435571,1899460,1311190,69.0295
SRR2921348,Th17p,SRX1435572,1684200,1095240,65.0307
SRR2921349,Th17p,SRX1435573,1602570,1029370,64.2322
SRR2921350,Th17p,SRX1435574,2075210,1444850,69.6242
SRR2921351,Th17p,SRX1435575,1407020,951906,67.6539
SRR2921352,Th17p,SRX1435576,1981660,1167040,58.8922
SRR2921353,Th17p,SRX1435577,2166610,1364700,62.9876
SRR2921354,Th17p,SRX1435578,1275050,896572,70.3168
SRR2921355,Th17p,SRX1435579,3152490,1935620,61.3997
SRR2921356,Th17p,SRX1435580,2586960,1545630,59.7469
SRR2921357,Th17p,SRX1435581,1667450,1131460,67.8559
SRR2921358,Th17p,SRX1435582,2295110,1262610,55.013
SRR2921359,Th17p,SRX1435583,1968390,1164730,59.1717
SRR2921360,Th17p,SRX1435584,2266020,1527100,67.3913
SRR2921361,Th17p,SRX1435585,2531390,1864390,73.6509
SRR2921362,Th17p,SRX1435586,2290940,1592820,69.5269
SRR2921363,Th17p,SRX1435587,1409870,760250,53.9234
SRR2921364,Th17p,SRX1435588,2051500,1356070,66.101
SRR2921365,Th17p,SRX1435589,2616030,1598680,61.1108
SRR2921366,Th17p,SRX1435590,2565930,1562870,60.9086
SRR2921367,Th17p,SRX1435591,3720160,2550040,68.5464
SRR2921368,Th17p,SRX1435592,3560670,2615870,73.4657
SRR2921369,Th17p,SRX1435593,3962980,2740270,69.1468
SRR2921370,Th17p,SRX1435594,2644080,1806230,68.3122
SRR2921371,Th17p,SRX1435595,3209960,2002190,62.3744
SRR2921372,Th17p,SRX1435596,2198920,1465400,66.6416
SRR2921373,Th17p,SRX1435597,2109040,1149880,54.5213
SRR2921374,Th17p,SRX1435598,2467390,1661380,67.3333
SRR2921375,Th17p,SRX1435599,2771400,1769390,63.8444
SRR2921376,Th17p,SRX1435600,1677190,1061940,63.3164
SRR2921377,Th17p,SRX1435601,2743070,1846580,67.3178
SRR2921378,Th17p,SRX1435602,2165760,1442840,66.6202
SRR2921379,Th17p,SRX1435603,3187700,1897220,59.5169
SRR2921380,Th17p,SRX1435604,2233810,1388480,62.1573
SRR2921381,Th17p,SRX1435605,2934600,1876220,63.9345
SRR2921382,Th17p,SRX1435606,1237510,785742,63.494
SRR2921383,Th17p,SRX1435607,3314510,1924550,58.0645
SRR2921384,Th17p,SRX1435608,2996950,1754640,58.5474
SRR2921385,Th17p,SRX1435609,3419390,2232320,65.284
SRR2921386,Th17p,SRX1435610,2016850,1238730,61.4191
SRR2921387,Th17p,SRX1435611,1703430,1062500,62.3739
SRR2921388,Th17p,SRX1435612,1429560,802105,56.1083
SRR2921389,Th17p,SRX1435613,3165120,1728370,54.6069
SRR2921390,Th17p,SRX1435614,1887400,1036790,54.9319
SRR2921391,Th17p,SRX1435615,1309270,895707,68.4129
SRR2921392,Th17p,SRX1435616,1506600,945401,62.7505
SRR2921393,Th17p,SRX1435617,1858360,1157260,62.273
SRR2921394,Th17p,SRX1435618,1324320,820554,61.9604
SRR2921395,Th17p,SRX1435619,2400920,1474300,61.4056
SRR2921396,Th17p,SRX1435620,1222090,852572,69.7634
SRR2921397,Th17p,SRX1435621,1442030,911329,63.1976
SRR2921398,Th17p,SRX1435622,2669530,1695920,63.5287
SRR2921399,Th17p,SRX1435623,2946520,2149250,72.942
SRR2921400,Th17p,SRX1435624,1895830,1292000,68.1499
SRR2921401,Th17p,SRX1435625,1287500,890797,69.1881
SRR2921402,Th17p,SRX1435626,1907850,1280170,67.1002
SRR2921403,Th17p,SRX1435627,3423240,2488000,72.6795
SRR2921404,Th17p,SRX1435628,3334230,1880050,56.3864
SRR2921405,Th17p,SRX1435629,2134750,1256590,58.8633
SRR2921406,Th17p,SRX1435630,2478700,1579070,63.7058
SRR2921407,Th17p,SRX1435631,2686410,1647400,61.3234
SRR2921408,Th17p,SRX1435632,2754480,1623700,58.9476
