	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	cluster_12	cluster_13	cluster_14	cluster_15	cluster_16	cluster_17	cluster_18	cluster_19	cluster_20	cluster_21	cluster_22	cluster_23	cluster_24	cluster_25	cluster_26	cluster_27	cluster_28
10FTHF5GLUtl_pos	3396.9134005489163	3419.4804389390824	3871.029923686276	3399.280190480627	3858.277337590244	3847.9398459949	3833.875603084704	3862.304138828548	3629.978684929831	3388.500589804923	3397.459870577283	3409.6786159162093	3425.087405514254	3791.11281901917	3388.0671641757203	3879.955025888571	3809.5790363386072	3415.448933528952	3465.408033830826	3873.9938247651194	3394.4191325589795	3823.034732746836	3792.7224948226144	3409.389693808543	3396.9630842250385	3461.6240496742003	3779.334836117824	3419.848436237046	3395.7830832618483
10FTHF5GLUtm_pos	6005.653618599079	6157.83580959438	7744.322242805314	6084.953966831848	7260.164232601324	8189.632547123897	6534.115818660216	7924.838041820567	7853.301444950251	6177.782231117648	6042.978086524129	6092.220763168146	6123.469647612219	7089.257268227552	6069.778088887257	7798.8192770519	7302.275176513094	6061.908477208253	6105.341310730647	6889.061427957004	6042.888294203973	7361.131621413886	6805.292180294806	6076.5860507912375	6081.550509344027	6546.9801075419455	7574.416165010459	6140.245809728997	6316.805974967967
10FTHF6GLUtl_pos	4135.32262497464	4163.974929190172	4987.645934348251	4129.063044799941	4972.4538369009	4947.622359647576	4884.006424736223	4942.189849484183	4561.690109763408	4129.300401305821	4134.154079647424	4146.321860433976	4182.80774147938	4831.598205724394	4121.170680842693	4956.917702608178	4855.179482184652	4162.187698881407	4252.864231320039	4901.341941585745	4131.833432579992	4885.360139033527	4836.43562461174	4151.268015908996	4129.4270746150905	4276.160668067437	4802.967368214841	4168.109840854664	4136.574986185427
10FTHF6GLUtm_pos	6382.579138276853	6558.861567299106	8501.592882546585	6468.353347257074	7948.315099356972	9032.572927752122	7176.99804317865	8737.216259541978	8596.092825956639	6565.871256322555	6423.996330732697	6482.255267395845	6530.328948139504	7908.6633363314	6448.6991590483785	8613.169912392019	8082.6419283436	6450.907336224134	6523.6013266654	7667.832664740991	6436.734647326716	8012.830428757505	7578.021573591796	6464.666808797382	6464.471370552059	6968.346027185652	8369.052084575982	6534.205109547535	6704.785229245485
10FTHF7GLUtl_pos	4720.669360358034	4760.791372177186	5849.707851575147	4718.841709339925	5823.81562301986	5784.327559470376	5716.474690095455	5797.839008767016	5299.138857828595	4723.05680076878	4726.959261376105	4738.936818883943	4786.934718182517	5628.49333143478	4714.50901009352	5802.046357966823	5671.927848447136	4759.930834877153	4862.743001788876	5707.1910738997	4728.896203556111	5707.348975240139	5626.604541483935	4750.373549907274	4722.371628632684	4953.376169751298	5648.736411473108	4765.455900711148	4739.398948328597
10FTHF7GLUtm_pos	6639.520770858688	6831.618883382384	9017.043876694555	6728.665421390603	8413.045603276834	9596.033254846663	7609.954692516956	9365.40375523091	9168.666402473998	6827.36684622599	6687.152381314265	6748.437280976127	6805.0039967599305	8462.206951925955	6706.1758698488575	9285.651601392212	8680.708152267178	6719.536899601928	6805.444318491794	8192.637901121894	6707.804817791985	8539.857746114283	8095.420576683079	6732.985987046783	6730.136474763665	7326.860883230634	9002.557753799349	6801.753608916281	6986.93595964233
10FTHFtl_neg	3396.9134005489163	3419.4804389390824	3871.0299236862775	3399.2801904806274	3858.277337590244	3847.9398459949	3833.875603084704	3862.3041388285487	3629.978684929832	3388.500589804923	3397.459870577281	3409.678615916209	3425.087405514254	3791.11281901917	3388.067164175721	3879.955025888572	3809.579036338605	3415.448933528952	3465.408033830826	3873.9938247651194	3394.4191325589795	3823.034732746836	3792.722494822615	3409.3896938085422	3396.9630842250376	3461.6240496742003	3779.334836117823	3419.848436237046	3395.783083261848
10FTHFtl_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10FTHFtm_neg	4766.36902879383	4782.785139340136	6643.847146652273	4825.309765004218	7343.526072669986	5708.497618731402	6267.341663274816	8278.703602298789	4766.034062514927	4816.943345833208	4805.286943181197	4762.235351530811	4852.5915153701535	5618.731664099681	4828.999692475161	5813.036447564143	4998.488264219869	4836.463623502623	4791.35016376552	4622.010114284625	4849.992399145895	4599.91962281741	6977.281011642838	4797.823736416092	4816.066597419755	4880.258946789983	4839.73158794576	4818.854521426389	4770.884839289202
10FTHFtm_pos	15171.13212951208	15348.467509571516	18994.97965696551	15197.427963007853	18329.871274361725	19485.64427614629	16847.35389679691	20460.221796872043	19747.25970976464	15564.365141008398	15432.609440059636	15460.238665161844	15392.819774408285	19460.18803431735	15449.24430050698	19678.6229545313	18220.029939124022	15259.184089308475	15275.290480909844	16957.611551272297	15420.558492480162	17605.862764904272	17315.979753799926	15244.504454991067	15338.31950062536	16621.911422713278	18106.34714325613	15447.111748078552	15825.47058363336
