,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,147.0,0.07010858465571475,0.6553431789715344,0.768566514999994,10FTHF5GLUtl
10FTHF5GLUtm_pos,124.0,0.4194324996066613,0.4611270958749941,0.8292318505569312,10FTHF5GLUtm
10FTHF6GLUtl_pos,146.0,0.0771336684412056,0.6545785152434961,0.768566514999994,10FTHF6GLUtl
10FTHF6GLUtm_pos,125.0,0.3947417052130072,0.47866267865780443,0.8163976175996286,10FTHF6GLUtm
10FTHF7GLUtl_pos,142.0,0.11116230009522643,0.6326608925889806,0.768566514999994,10FTHF7GLUtl
10FTHF7GLUtm_pos,126.0,0.37095103453309664,0.4643228581426471,0.8163976175996286,10FTHF7GLUtm
10FTHFtl_neg,147.0,0.07010858465571475,0.6553431789715425,0.768566514999994,10FTHFtl
10FTHFtm_neg,113.0,0.7434206976952524,0.7017033610442571,0.8802990064584605,10FTHFtm
10FTHFtm_pos,112.0,0.7766531265771661,0.36395228261063217,0.8802990064584605,10FTHFtm
11DOCRTSLtm_pos,112.0,0.7766531265771661,0.36310506943368553,0.8802990064584605,11DOCRTSLtm
11DOCRTSLtr_neg,112.0,0.7766531265771661,0.3631050694336816,0.8802990064584605,11DOCRTSLtr
11DOCRTSTRNtm_pos,112.0,0.7766531265771661,0.36816265364952216,0.8802990064584605,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,112.0,0.7766531265771661,0.3681626536495243,0.8802990064584605,11DOCRTSTRNtr
13DAMPPOX_pos,107.0,0.9478034802354203,0.3081992118029144,0.9736346023382724,13DAMPPOX
1MNCAMti_pos,105.0,0.9825901131969854,0.1086658664496344,0.9825901131969854,1MNCAMti
1PPDCRp_pos,137.0,0.16920192165920167,0.475524739222233,0.768566514999994,1PPDCRp
1a25DHVITD3TRn_pos,112.0,0.7766531265771661,0.37592717984423607,0.8802990064584605,1a25DHVITD3TRn
24NPHte_neg,117.0,0.615737058040257,0.1238229391411047,0.8475032540441739,24NPHte
24_25DHVITD2t_pos,106.0,0.9825901131969854,0.07031481390157057,0.9825901131969854,24_25DHVITD2t
24_25DHVITD2tm_pos,106.0,0.9825901131969854,0.07031481390157057,0.9825901131969854,24_25DHVITD2tm
24_25DHVITD3t_pos,112.0,0.7766531265771661,0.37592717984423035,0.8802990064584605,24_25DHVITD3t
24_25DHVITD3tm_pos,112.0,0.7766531265771661,0.3744802906331225,0.8802990064584605,24_25DHVITD3tm
24_25VITD2Hm_pos,106.0,0.9825901131969854,0.07031481390157057,0.9825901131969854,24_25VITD2Hm
24_25VITD3Hm_pos,112.0,0.7766531265771661,0.3744802906331225,0.8802990064584605,24_25VITD3Hm
25HVITD3c_pos,112.0,0.7766531265771661,0.37592717984423607,0.8802990064584605,25HVITD3c
2AMACHYD_pos,124.0,0.4194324996066613,0.38960949623901037,0.8292318505569312,2AMACHYD
2AMACSULT_pos,120.0,0.5268434347302196,0.531150159652143,0.8325568463681905,2AMACSULT
2AMADPTm_pos,136.0,0.18314652532853137,0.5767922660295794,0.768566514999994,2AMADPTm
2DR1PP_pos,125.0,0.3947417052130072,0.3627342993466179,0.8163976175996286,2DR1PP
2HBO_neg,113.0,0.7434206976952524,0.413462767739266,0.8802990064584605,2HBO
2HBO_pos,144.0,0.09290328709689505,0.6252688237683308,0.768566514999994,2HBO
2HBt2_neg,119.0,0.5557349624423149,0.22031087505560382,0.8325568463681905,2HBt2
2HBt2_pos,119.0,0.5557349624423149,0.23721449486680374,0.8325568463681905,2HBt2
2HCO3_NAt_neg,101.0,0.8785934392551416,0.0319304641196084,0.9344865934304979,2HCO3_NAt
2HCO3_NAt_pos,105.0,0.9825901131969854,0.1440363891748157,0.9825901131969854,2HCO3_NAt
2MB2COAc_pos,103.0,0.9478034802354203,0.06509526876601159,0.9736346023382724,2MB2COAc
2MCITt_pos,126.0,0.37095103453309664,0.5511450733876049,0.8163976175996286,2MCITt
2OXOADOXm_pos,103.0,0.9478034802354203,0.25573881362219403,0.9736346023382724,2OXOADOXm
2OXOADPTm_neg,136.0,0.18314652532853137,0.5767922660295793,0.768566514999994,2OXOADPTm
2OXOADPTm_pos,114.0,0.7106595685403921,0.3580445625557208,0.8802990064584605,2OXOADPTm
